rank,article,views,date,project
1,الصفحة_الرئيسة,33271,2026-09-20,ar.wikipedia
2,خاص:بحث,21754,2026-09-20,ar.wikipedia
3,"ملف:Elissa_-_August_24,_2012_(2).jpg",11405,2026-09-20,ar.wikipedia
4,سيد_أحمد_أقومي,7177,2026-09-20,ar.wikipedia
5,أصالة_نصري,6013,2026-09-20,ar.wikipedia
6,منصة_مدرستي,5354,2026-09-20,ar.wikipedia
7,محمد_علي_الحوثي,4028,2026-09-20,ar.wikipedia
8,اليوم_الوطني_السعودي,3434,2026-09-20,ar.wikipedia
9,ميا_خليفة,3358,2026-09-20,ar.wikipedia
10,مساعد_بن_عبد_الرحمن_بن_فيصل_آل_سعود,3229,2026-09-20,ar.wikipedia
11,تصنيف:أفلام_إثارة_جنسية_أمريكية,3158,2026-09-20,ar.wikipedia
12,محمد_بن_سلمان_آل_سعود,3144,2026-09-20,ar.wikipedia
13,تصنيف:ممثلات_إباحيات_أمريكيات,2967,2026-09-20,ar.wikipedia
14,في_السابعة_عشرة,2906,2026-09-20,ar.wikipedia
15,عبد_الملك_الحوثي,2814,2026-09-20,ar.wikipedia
16,الصفحة_الرئيسية,2809,2026-09-20,ar.wikipedia
17,Xxxx_(توضيح),2588,2026-09-20,ar.wikipedia
18,عبد_العزيز_آل_سعود,2570,2026-09-20,ar.wikipedia
18,كلب_(جنس),2570,2026-09-20,ar.wikipedia
20,مشاعل_بنت_فهد_بن_محمد_آل_سعود,2378,2026-09-20,ar.wikipedia
21,أنصار_الله_الحوثيون,2106,2026-09-20,ar.wikipedia
22,أحمد_الشرعي,1868,2026-09-20,ar.wikipedia
23,سلمان_بن_عبد_العزيز_آل_سعود,1795,2026-09-20,ar.wikipedia
24,رافينيا,1746,2026-09-20,ar.wikipedia
25,خاص:أحدث_التغييرات,1700,2026-09-20,ar.wikipedia
26,حزب_الأصالة_والمعاصرة,1693,2026-09-20,ar.wikipedia
27,السعودية,1691,2026-09-20,ar.wikipedia
28,قائمة_الأفلام_المصرية_سنة_2026,1539,2026-09-20,ar.wikipedia
29,المثلية_الجنسية_في_الحيوان,1508,2026-09-20,ar.wikipedia
30,ليزي_بوردن,1489,2026-09-20,ar.wikipedia
31,حسين_بدر_الدين_الحوثي,1487,2026-09-20,ar.wikipedia
32,محمد,1458,2026-09-20,ar.wikipedia
32,جنسانية_المراهقين,1458,2026-09-20,ar.wikipedia
34,يارا_السكري,1362,2026-09-20,ar.wikipedia
35,رمضان_صبحي,1357,2026-09-20,ar.wikipedia
36,مصر,1350,2026-09-20,ar.wikipedia
36,فيصل_بن_عبد_العزيز_آل_سعود,1350,2026-09-20,ar.wikipedia
38,محمد_صلاح,1345,2026-09-20,ar.wikipedia
39,يوم_الغفران,1342,2026-09-20,ar.wikipedia
40,دييغو_سيميوني,1317,2026-09-20,ar.wikipedia
41,كأس_الخليج_العربي_27,1316,2026-09-20,ar.wikipedia
42,بدر_الدين_الحوثي,1298,2026-09-20,ar.wikipedia
43,20_سبتمبر,1297,2026-09-20,ar.wikipedia
44,فيسبوك,1296,2026-09-20,ar.wikipedia
45,قائمة_حلقات_المحقق_كونان,1282,2026-09-20,ar.wikipedia
46,مواقع_إباحية,1271,2026-09-20,ar.wikipedia
47,طرابزون_سبور,1266,2026-09-20,ar.wikipedia
48,موسى_الشبيري_الزنجاني,1248,2026-09-20,ar.wikipedia
49,مصطفى_نصري,1230,2026-09-20,ar.wikipedia
50,يوتيوب,1224,2026-09-20,ar.wikipedia
50,طلال_بن_عبد_العزيز_آل_سعود,1224,2026-09-20,ar.wikipedia
52,شمس_المعارف_الكبرى_(كتاب),1149,2026-09-20,ar.wikipedia
53,كأس_الخليج_العربي,1140,2026-09-20,ar.wikipedia
54,قصر_المرجان_(مسلسل),1125,2026-09-20,ar.wikipedia
55,حزب_اليسار_(ألمانيا),1115,2026-09-20,ar.wikipedia
56,حبك_نار_(مسلسل),1106,2026-09-20,ar.wikipedia
57,اليمن,1091,2026-09-20,ar.wikipedia
58,عادل_إمام,1085,2026-09-20,ar.wikipedia
59,منصة_حجز_العملة_الأجنبية,1082,2026-09-20,ar.wikipedia
60,سارة_الشامي,1075,2026-09-20,ar.wikipedia
61,عبد_الله_بن_عبد_العزيز_آل_سعود,1068,2026-09-20,ar.wikipedia
62,علي_عبد_الله_صالح,1061,2026-09-20,ar.wikipedia
63,محمد_الفاتح,1053,2026-09-20,ar.wikipedia
64,سعود_بن_عبد_العزيز_آل_سعود,1052,2026-09-20,ar.wikipedia
65,ورود_وذنوب_(مسلسل),1051,2026-09-20,ar.wikipedia
66,فهد_بن_عبد_العزيز_آل_سعود,1025,2026-09-20,ar.wikipedia
67,أحمد_العوضي,1020,2026-09-20,ar.wikipedia
68,صدام_حسين,1017,2026-09-20,ar.wikipedia
69,راشد_بن_محمد_آل_مكتوم,1014,2026-09-20,ar.wikipedia
70,المغرب,991,2026-09-20,ar.wikipedia
71,ويكيبيديا:نص_رخصة_المشاع_الإبداعي:_النسبة-الترخيص_بالمثل_4.0,980,2026-09-20,ar.wikipedia
72,عبد_الرحمن_بن_فيصل_بن_تركي_آل_سعود,967,2026-09-20,ar.wikipedia
73,تصنيف:أفلام_رومانسية_جنسية,960,2026-09-20,ar.wikipedia
74,أسامة_حسن_(لاعب_كرة_قدم),958,2026-09-20,ar.wikipedia
75,.xxx,957,2026-09-20,ar.wikipedia
76,ريال_مدريد,954,2026-09-20,ar.wikipedia
77,كريم_أديمي,941,2026-09-20,ar.wikipedia
78,تصنيف:أفلام_إثارة_جنسية,936,2026-09-20,ar.wikipedia
