rank,article,views,date,project
1,Wikipedia:Hauptseite,778673,2026-09-20,de.wikipedia
2,Elif_Eralp,292802,2026-09-20,de.wikipedia
3,Landtagswahl_in_Mecklenburg-Vorpommern_2026,166879,2026-09-20,de.wikipedia
4,Spezial:Suche,111387,2026-09-20,de.wikipedia
5,Lizzie_Borden,106575,2026-09-20,de.wikipedia
6,Wahl_zum_Abgeordnetenhaus_von_Berlin_2026,81900,2026-09-20,de.wikipedia
7,Manuela_Schwesig,74308,2026-09-20,de.wikipedia
8,Leif-Erik_Holm,74068,2026-09-20,de.wikipedia
9,Peter_Hermann_(Fußballspieler),58499,2026-09-20,de.wikipedia
10,Mecklenburg-Vorpommern,55369,2026-09-20,de.wikipedia
11,Dominik_Krause,52077,2026-09-20,de.wikipedia
12,Tatort:_Die_letzten_Menschen_von_Köln,39322,2026-09-20,de.wikipedia
13,Babylon_Berlin,37086,2026-09-20,de.wikipedia
14,Liste_der_größten_Auslegerbrücken,28644,2026-09-20,de.wikipedia
15,Hülya_Eralp,28176,2026-09-20,de.wikipedia
16,Peter_Petrel,26528,2026-09-20,de.wikipedia
17,Remmo-Clan,26162,2026-09-20,de.wikipedia
18,Der_Pate_–_Teil_II,23410,2026-09-20,de.wikipedia
19,Katharina_Schüttler,21598,2026-09-20,de.wikipedia
20,Beatrix_von_Storch,19947,2026-09-20,de.wikipedia
21,Sogol_Faghani,19945,2026-09-20,de.wikipedia
22,Stefan_Evers,18198,2026-09-20,de.wikipedia
23,Aileen_Wuornos,17208,2026-09-20,de.wikipedia
24,Alexander_Blessin,17086,2026-09-20,de.wikipedia
25,Die_Linke,16805,2026-09-20,de.wikipedia
26,Wikipedia:Wiki_Loves_Monuments_2026/Deutschland,15913,2026-09-20,de.wikipedia
27,Ziegenturm,15624,2026-09-20,de.wikipedia
28,Philipp_Amthor,15513,2026-09-20,de.wikipedia
29,Wahl_zum_Abgeordnetenhaus_von_Berlin_2023,15198,2026-09-20,de.wikipedia
30,Tim_Klüssendorf,14194,2026-09-20,de.wikipedia
31,Alice_Weidel,14091,2026-09-20,de.wikipedia
32,Verwaltungsgliederung_Berlins,13997,2026-09-20,de.wikipedia
33,Berlin,13771,2026-09-20,de.wikipedia
34,Datei:Germany_adm_location_map.svg,13733,2026-09-20,de.wikipedia
35,Landtagswahl_in_Mecklenburg-Vorpommern_2021,13138,2026-09-20,de.wikipedia
36,Jurassic_World:_Ein_neues_Zeitalter,12997,2026-09-20,de.wikipedia
37,Ann-Kathrin_Kramer,12088,2026-09-20,de.wikipedia
38,Landtagswahl_in_Sachsen-Anhalt_2026,11898,2026-09-20,de.wikipedia
39,Friedrich_Merz,11760,2026-09-20,de.wikipedia
40,The_Accountant_(2016),11590,2026-09-20,de.wikipedia
41,Klaus_J._Behrendt,11192,2026-09-20,de.wikipedia
42,Hans_Hoffmann_(Diplomat),10907,2026-09-20,de.wikipedia
43,Parlamentswahl_in_Russland_2026,10650,2026-09-20,de.wikipedia
44,Deutschland,10612,2026-09-20,de.wikipedia
45,Franziska_Giffey,10471,2026-09-20,de.wikipedia
46,Nocturnal_Animals,10336,2026-09-20,de.wikipedia
47,Ralf_Richter,10297,2026-09-20,de.wikipedia
48,Hauptseite,9991,2026-09-20,de.wikipedia
49,Liv_Lisa_Fries,9923,2026-09-20,de.wikipedia
50,Nekrolog_2026,9757,2026-09-20,de.wikipedia
51,Julia_Bremermann,9461,2026-09-20,de.wikipedia
52,Xatar,9261,2026-09-20,de.wikipedia
53,Ella_Beatty,9241,2026-09-20,de.wikipedia
54,Flash_Gordon_(1980),9167,2026-09-20,de.wikipedia
55,Frenzy_(Sängerin),9068,2026-09-20,de.wikipedia
56,Abgeordnetenhaus_von_Berlin,9062,2026-09-20,de.wikipedia
57,Wahl_zum_Abgeordnetenhaus_von_Berlin_2021,9012,2026-09-20,de.wikipedia
58,Gregor_Gysi,8927,2026-09-20,de.wikipedia
59,Sachsen-Anhalt,8849,2026-09-20,de.wikipedia
60,Der_Pate_(Film),8743,2026-09-20,de.wikipedia
61,Alternative_für_Deutschland,8732,2026-09-20,de.wikipedia
62,Bündnis_Sahra_Wagenknecht,8539,2026-09-20,de.wikipedia
63,Carsten_Breuer,8297,2026-09-20,de.wikipedia
64,Helmut_Zierl,8111,2026-09-20,de.wikipedia
65,Katrin_Wichmann,8091,2026-09-20,de.wikipedia
66,Volker_Bruch,8089,2026-09-20,de.wikipedia
67,Werner_Graf_(Politiker),8070,2026-09-20,de.wikipedia
68,Kristin_Brinker,7835,2026-09-20,de.wikipedia
69,Florian_Stetter,7792,2026-09-20,de.wikipedia
70,Kai_Wegner,7574,2026-09-20,de.wikipedia
71,20._September,7475,2026-09-20,de.wikipedia
72,Babington-Verschwörung,7469,2026-09-20,de.wikipedia
73,Regierender_Bürgermeister_von_Berlin,7428,2026-09-20,de.wikipedia
74,Mathias_Middelberg,7252,2026-09-20,de.wikipedia
75,Ballauf_und_Schenk,7223,2026-09-20,de.wikipedia
76,Oktoberfest,7203,2026-09-20,de.wikipedia
77,Dietmar_Bär,7184,2026-09-20,de.wikipedia
78,Wahl_zum_Abgeordnetenhaus_von_Berlin,7143,2026-09-20,de.wikipedia
79,Gianna_Nannini,7037,2026-09-20,de.wikipedia
80,ZDF,6879,2026-09-20,de.wikipedia
81,Amyotrophe_Lateralsklerose,6877,2026-09-20,de.wikipedia
82,Daniel_Peters_(Politiker),6845,2026-09-20,de.wikipedia
83,Schwerin,6816,2026-09-20,de.wikipedia
84,Babylon_Berlin/Episodenliste,6808,2026-09-20,de.wikipedia
85,Shakuntala_Banerjee,6715,2026-09-20,de.wikipedia
86,Steffen_Krach,6634,2026-09-20,de.wikipedia
87,Sahra_Wagenknecht,6605,2026-09-20,de.wikipedia
88,Freie_Demokratische_Partei,6601,2026-09-20,de.wikipedia
89,Brandenburg,6600,2026-09-20,de.wikipedia
90,Vaterland_(2026),6558,2026-09-20,de.wikipedia
91,Franziska_Hoppermann,6437,2026-09-20,de.wikipedia
92,Sam_Neill,6435,2026-09-20,de.wikipedia
93,Vicky_Krieps,6420,2026-09-20,de.wikipedia
94,Die_Odyssee_(2026),6396,2026-09-20,de.wikipedia
95,Landtag_Mecklenburg-Vorpommern,6364,2026-09-20,de.wikipedia
96,Tod_auf_dem_Nil_(2004),6270,2026-09-20,de.wikipedia
97,Tinka_Fürst,6206,2026-09-20,de.wikipedia
98,Landtagswahl_in_Mecklenburg-Vorpommern_2016,6172,2026-09-20,de.wikipedia
99,Konrad_Adenauer,6169,2026-09-20,de.wikipedia
100,Terroranschläge_am_11._September_2001,6102,2026-09-20,de.wikipedia
101,Prepper,6007,2026-09-20,de.wikipedia
102,Jom_Kippur,5968,2026-09-20,de.wikipedia
103,Enrico_Schult,5907,2026-09-20,de.wikipedia
104,Adolf_Hitler,5903,2026-09-20,de.wikipedia
105,Liste_der_Ministerpräsidenten_der_deutschen_Länder,5879,2026-09-20,de.wikipedia
106,Kindertag,5840,2026-09-20,de.wikipedia
107,Frau_von_Naharon,5834,2026-09-20,de.wikipedia
108,Alexander_Klaws,5825,2026-09-20,de.wikipedia
109,Mariam_Lau,5793,2026-09-20,de.wikipedia
110,Landtagswahlen_in_Mecklenburg-Vorpommern,5789,2026-09-20,de.wikipedia
111,ChatGPT,5763,2026-09-20,de.wikipedia
112,Sandro_Mazzola,5752,2026-09-20,de.wikipedia
113,Al_Pacino,5679,2026-09-20,de.wikipedia
114,Massimo_Sinató,5646,2026-09-20,de.wikipedia
115,Ines_Schwerdtner,5600,2026-09-20,de.wikipedia
116,Ulrich_Siegmund,5599,2026-09-20,de.wikipedia
117,Robin_Alexander,5508,2026-09-20,de.wikipedia
118,Konny_Reimann,5461,2026-09-20,de.wikipedia
119,Der_Pate_III,5434,2026-09-20,de.wikipedia
120,Sitzverteilung_in_den_deutschen_Landesparlamenten,5407,2026-09-20,de.wikipedia
121,Davis_Cup_2026,5405,2026-09-20,de.wikipedia
122,Christian_Ehring,5386,2026-09-20,de.wikipedia
123,Pascal_Groß,5377,2026-09-20,de.wikipedia
124,Veronika_Grimm,5340,2026-09-20,de.wikipedia
125,Liste_voraussichtlicher_Wahltermine_in_Deutschland,5328,2026-09-20,de.wikipedia
126,Sven_von_Storch,5303,2026-09-20,de.wikipedia
127,Isi_Glück,5271,2026-09-20,de.wikipedia
128,Alexander_Zverev,5249,2026-09-20,de.wikipedia
129,Pornhub,5216,2026-09-20,de.wikipedia
130,Mamma_Mia!_Here_We_Go_Again,5184,2026-09-20,de.wikipedia
131,Macklemore,5091,2026-09-20,de.wikipedia
132,Nekrolog_September_2026,5021,2026-09-20,de.wikipedia
133,"The_Gentlemen_(Fernsehserie,_2024)",5020,2026-09-20,de.wikipedia
134,Caroline_Wahl,5011,2026-09-20,de.wikipedia
135,Amed_SFK,4988,2026-09-20,de.wikipedia
136,Doppelstaatler,4955,2026-09-20,de.wikipedia
