rank,article,views,date,project
1,Wikipedia:Portada,422337,2026-09-21,es.wikipedia
2,Lizzie_Borden,129859,2026-09-21,es.wikipedia
3,Especial:Buscar,78038,2026-09-21,es.wikipedia
4,Cindy_Crawford,46178,2026-09-21,es.wikipedia
5,Ceuta_Ya,31020,2026-09-21,es.wikipedia
6,Susy_Aponte,28745,2026-09-21,es.wikipedia
7,Rande_Gerber,27864,2026-09-21,es.wikipedia
8,Aileen_Wuornos,24445,2026-09-21,es.wikipedia
9,Monstruo:_la_historia_de_Lizzie_Borden,22827,2026-09-21,es.wikipedia
10,Kaia_Gerber,21609,2026-09-21,es.wikipedia
11,Ferran_Torres,20254,2026-09-21,es.wikipedia
12,La_bola_negra_(película),16800,2026-09-21,es.wikipedia
13,Aleks_Syntek,15591,2026-09-21,es.wikipedia
14,Resident_Evil_(película_de_2026),14095,2026-09-21,es.wikipedia
15,Ella_Beatty,13391,2026-09-21,es.wikipedia
16,Yom_Kipur,13007,2026-09-21,es.wikipedia
17,Atentados_del_11_de_septiembre_de_2001,10792,2026-09-21,es.wikipedia
18,Día_Internacional_de_la_Paz,10168,2026-09-21,es.wikipedia
19,Arroba_(símbolo),9635,2026-09-21,es.wikipedia
20,Elecciones_estatales_de_Berlín_de_2026,9260,2026-09-21,es.wikipedia
21,Tabla_periódica_de_los_elementos,9227,2026-09-21,es.wikipedia
22,Charlie_Hunnam,9106,2026-09-21,es.wikipedia
23,ChatGPT,8967,2026-09-21,es.wikipedia
24,Radio_AM_750,8532,2026-09-21,es.wikipedia
25,Juegos_Suramericanos_de_2026,8412,2026-09-21,es.wikipedia
26,Chad_Gilbert,7929,2026-09-21,es.wikipedia
27,Nance_O'Neil,7791,2026-09-21,es.wikipedia
28,21_de_septiembre,7713,2026-09-21,es.wikipedia
29,Vicky_Krieps,7709,2026-09-21,es.wikipedia
30,Cautiva_(miniserie),7549,2026-09-21,es.wikipedia
31,Anexo:Fútbol_en_los_Juegos_Suramericanos_de_2026,7006,2026-09-21,es.wikipedia
32,La_Izquierda_(Alemania),6774,2026-09-21,es.wikipedia
33,Miguel_Borja,6629,2026-09-21,es.wikipedia
34,Richard_Gere,6237,2026-09-21,es.wikipedia
35,Elecciones_legislativas_de_Rusia_de_2026,6185,2026-09-21,es.wikipedia
36,Lionel_Messi,6002,2026-09-21,es.wikipedia
37,Negu_Gorriak,5897,2026-09-21,es.wikipedia
