rank,article,views,date,project
1,עמוד_ראשי,13628,2026-09-25,he.wikipedia
2,דוד_בצרי,7531,2026-09-25,he.wikipedia
3,טדי_שגיא,6538,2026-09-25,he.wikipedia
4,יהודה_אטלס,5577,2026-09-25,he.wikipedia
5,קורל_סימנוביץ',4323,2026-09-25,he.wikipedia
6,חטיבת_ירושלים,3968,2026-09-25,he.wikipedia
7,סייד_אבו_פרחי,3864,2026-09-25,he.wikipedia
8,מיוחד:חיפוש,3726,2026-09-25,he.wikipedia
9,סוכות,3226,2026-09-25,he.wikipedia
10,עומר_נודלמן,3122,2026-09-25,he.wikipedia
11,הר_חלוץ,2835,2026-09-25,he.wikipedia
12,יצחק_בצרי,2413,2026-09-25,he.wikipedia
13,אמיר_שורוש,2128,2026-09-25,he.wikipedia
14,ליזי_בורדן,2074,2026-09-25,he.wikipedia
15,יואלי_לנדאו,1900,2026-09-25,he.wikipedia
16,ארבעת_המינים,1872,2026-09-25,he.wikipedia
17,רמי_לוי,1821,2026-09-25,he.wikipedia
18,ליאור_רז,1753,2026-09-25,he.wikipedia
19,יעל_נזרי,1717,2026-09-25,he.wikipedia
20,יון_תומרקין,1564,2026-09-25,he.wikipedia
21,יחיאל_לייטר,1509,2026-09-25,he.wikipedia
22,מיקי_גבריאלוב,1460,2026-09-25,he.wikipedia
23,טד_קזינסקי,1445,2026-09-25,he.wikipedia
24,פאודה,1412,2026-09-25,he.wikipedia
25,מיוחד:שינויים_אחרונים,1347,2026-09-25,he.wikipedia
26,הפשוטע_(סדרת_טלוויזיה),1321,2026-09-25,he.wikipedia
27,רצח_מוחמד_אבו_ח'דיר,1223,2026-09-25,he.wikipedia
28,עצמאות_(סרט),1206,2026-09-25,he.wikipedia
29,מנשה_רז,1198,2026-09-25,he.wikipedia
30,והילד_הזה_הוא_אני,1063,2026-09-25,he.wikipedia
31,בנימין_נתניהו,1045,2026-09-25,he.wikipedia
32,גדי_איזנקוט,1026,2026-09-25,he.wikipedia
33,פוצ'ו,1021,2026-09-25,he.wikipedia
34,אושפיזין,1018,2026-09-25,he.wikipedia
35,פנינה_רוזנבלום,942,2026-09-25,he.wikipedia
36,נובאק_ג'וקוביץ',934,2026-09-25,he.wikipedia
37,"נז""א_(סרט)",923,2026-09-25,he.wikipedia
38,איגי_וקסמן,912,2026-09-25,he.wikipedia
39,נגה_ארז,874,2026-09-25,he.wikipedia
40,לרוץ_על_החול,864,2026-09-25,he.wikipedia
41,אסף_רפפורט,860,2026-09-25,he.wikipedia
42,עופר_וינטר,803,2026-09-25,he.wikipedia
43,אריק_איינשטיין,789,2026-09-25,he.wikipedia
44,טלי_בן_יוסף,745,2026-09-25,he.wikipedia
45,ישראל,743,2026-09-25,he.wikipedia
46,אתרוג,736,2026-09-25,he.wikipedia
47,דניאל_דיי-לואיס,705,2026-09-25,he.wikipedia
48,אושרית_סרוסי,693,2026-09-25,he.wikipedia
48,קטגוריה:סרטים_פולניים,693,2026-09-25,he.wikipedia
50,פלופונסוס,668,2026-09-25,he.wikipedia
51,מפלצת:_הסיפור_של_ליזי_בורדן,664,2026-09-25,he.wikipedia
52,סיון_בלוך,655,2026-09-25,he.wikipedia
53,ארדיטי,649,2026-09-25,he.wikipedia
53,אריה_מליניאק,649,2026-09-25,he.wikipedia
55,אושרי_כהן,639,2026-09-25,he.wikipedia
56,סוזן_סרנדון,633,2026-09-25,he.wikipedia
57,גיא_מרקיזנו,613,2026-09-25,he.wikipedia
58,מרטי_סופרים,596,2026-09-25,he.wikipedia
59,טבח_שבעה_באוקטובר,589,2026-09-25,he.wikipedia
60,יאיר_גולן,587,2026-09-25,he.wikipedia
61,הבחירות_לכנסת_העשרים_ושש,585,2026-09-25,he.wikipedia
62,סאמי_אבו_שחאדה,582,2026-09-25,he.wikipedia
63,ירדנה_ארזי,574,2026-09-25,he.wikipedia
64,גרי_מנדלבאום,567,2026-09-25,he.wikipedia
65,עשרת_בני_המן,562,2026-09-25,he.wikipedia
66,אמיר_חצרוני,561,2026-09-25,he.wikipedia
67,חיים_אתגר,559,2026-09-25,he.wikipedia
68,יעקב_גולדווסר,557,2026-09-25,he.wikipedia
69,מיוחד:רשימת_המעקב,549,2026-09-25,he.wikipedia
70,ירון_זליכה,548,2026-09-25,he.wikipedia
71,יחידת_שלדג,544,2026-09-25,he.wikipedia
71,"דרגות_צה""ל",544,2026-09-25,he.wikipedia
73,אברהם_ברזני,539,2026-09-25,he.wikipedia
74,צחי_הלוי,535,2026-09-25,he.wikipedia
75,מנדלבאום_בלש_פרטי,531,2026-09-25,he.wikipedia
76,יובל_אברהם,530,2026-09-25,he.wikipedia
77,השמועה_(סדרת_טלוויזיה),528,2026-09-25,he.wikipedia
78,מבצע_סבתא,525,2026-09-25,he.wikipedia
79,עוצבת_האש,524,2026-09-25,he.wikipedia
80,ימי_ויסלר,516,2026-09-25,he.wikipedia
81,"אח""י_דרקון",515,2026-09-25,he.wikipedia
82,בחורים_טובים_3,512,2026-09-25,he.wikipedia
83,אהרון_חליוה,511,2026-09-25,he.wikipedia
84,כביש_90,509,2026-09-25,he.wikipedia
85,איילין_וורנוס,506,2026-09-25,he.wikipedia
86,מלחמת_חרבות_ברזל,501,2026-09-25,he.wikipedia
87,היקום_הקולנועי_של_מארוול,499,2026-09-25,he.wikipedia
88,סרג'י_רוברטו,496,2026-09-25,he.wikipedia
89,הזירה_(תוכנית_טלוויזיה),495,2026-09-25,he.wikipedia
90,מארש_החתונה,493,2026-09-25,he.wikipedia
91,"האודיסיאה_(סרט,_2026)",478,2026-09-25,he.wikipedia
92,יואל_הופמן,476,2026-09-25,he.wikipedia
93,נפתלי_בנט,473,2026-09-25,he.wikipedia
94,פלייטק,471,2026-09-25,he.wikipedia
95,סטארלינק,467,2026-09-25,he.wikipedia
96,קטגוריה:קיבוצים,464,2026-09-25,he.wikipedia
97,חן_רוטמן,454,2026-09-25,he.wikipedia
98,קופה_ראשית,452,2026-09-25,he.wikipedia
99,סידני_סוויני,449,2026-09-25,he.wikipedia
99,סרי_לנקה,449,2026-09-25,he.wikipedia
101,נחומי_יפה,447,2026-09-25,he.wikipedia
102,ויין_רוני,438,2026-09-25,he.wikipedia
103,יואב_סגלוביץ,437,2026-09-25,he.wikipedia
104,משתמש:דוד55/הקישורים_שלי,436,2026-09-25,he.wikipedia
105,ויין_שורטר,433,2026-09-25,he.wikipedia
106,רחל_שור_(במאית),432,2026-09-25,he.wikipedia
107,בוב_פטיט,430,2026-09-25,he.wikipedia
108,בלב_הפרא,429,2026-09-25,he.wikipedia
109,ניקיטה_סטויאנוב,426,2026-09-25,he.wikipedia
110,האנה_איינביינדר,424,2026-09-25,he.wikipedia
111,מיכל_הרצוג,418,2026-09-25,he.wikipedia
112,מורן_אטיאס,411,2026-09-25,he.wikipedia
113,אקסצנטריות_(התנהגות),410,2026-09-25,he.wikipedia
114,יזהר_כהן,407,2026-09-25,he.wikipedia
115,הנוקמים:_סוף_המשחק,406,2026-09-25,he.wikipedia
115,תעתוע_(סרט),406,2026-09-25,he.wikipedia
115,רמי_הויברגר,406,2026-09-25,he.wikipedia
118,קטגוריה:כדורגלני_מכבי_חיפה,405,2026-09-25,he.wikipedia
118,התפוצצות_זימוניות_חזבאללה,405,2026-09-25,he.wikipedia
120,יוסי_סילמן,404,2026-09-25,he.wikipedia
121,אנשים_שפגשתי,403,2026-09-25,he.wikipedia
122,אורנה_בנאי,398,2026-09-25,he.wikipedia
123,הג'נטלמנים_(סדרת_טלוויזיה),396,2026-09-25,he.wikipedia
123,ערוץ_16,396,2026-09-25,he.wikipedia
123,אמיר_בנאי,396,2026-09-25,he.wikipedia
126,בן_ציון_מוצפי,395,2026-09-25,he.wikipedia
127,הטבלה_המחזורית,391,2026-09-25,he.wikipedia
128,בני_ציפר,389,2026-09-25,he.wikipedia
129,איתי_תורג'מן,387,2026-09-25,he.wikipedia
130,שבעת_המינים,386,2026-09-25,he.wikipedia
131,מירב_פלדמן,382,2026-09-25,he.wikipedia
132,ארצות_הברית,377,2026-09-25,he.wikipedia
133,כריסטיאן_בליץ',375,2026-09-25,he.wikipedia
134,אלבניה,374,2026-09-25,he.wikipedia
134,חיים_באר,374,2026-09-25,he.wikipedia
136,דני_דנון,368,2026-09-25,he.wikipedia
136,דרגות_משטרת_ישראל,368,2026-09-25,he.wikipedia
136,סלין_דיון,368,2026-09-25,he.wikipedia
139,הריגתו_של_עודה_אלהד'אלין,365,2026-09-25,he.wikipedia
140,עזרא_בצרי,363,2026-09-25,he.wikipedia
141,קטגוריה:כדורגלנים_ישראלים,360,2026-09-25,he.wikipedia
142,אלה_ביטי,356,2026-09-25,he.wikipedia
142,"האויב_שבפנים_(סרט,_2026)",356,2026-09-25,he.wikipedia
144,נטעים,355,2026-09-25,he.wikipedia
145,יועז_הנדל,353,2026-09-25,he.wikipedia
146,פאר_טסי,351,2026-09-25,he.wikipedia
147,XXXX_(בירה),348,2026-09-25,he.wikipedia
147,סלמאן_מוצפי,348,2026-09-25,he.wikipedia
149,יהודה_פתיה,345,2026-09-25,he.wikipedia
149,משה_פייגלין,345,2026-09-25,he.wikipedia
151,יחסי_מין,344,2026-09-25,he.wikipedia
151,צ'ה_גווארה,344,2026-09-25,he.wikipedia
153,דור_ה-Z,343,2026-09-25,he.wikipedia
153,69_(תנוחה),343,2026-09-25,he.wikipedia
153,מוריה_קור,343,2026-09-25,he.wikipedia
156,תיאו_ג'יימס,340,2026-09-25,he.wikipedia
157,ברכת_לישב_בסוכה,339,2026-09-25,he.wikipedia
158,אביגדור_ליברמן,338,2026-09-25,he.wikipedia
158,רותם_אבוהב,338,2026-09-25,he.wikipedia
160,טלי_בן-יוסף,337,2026-09-25,he.wikipedia
160,ליאור_ארדיטי,337,2026-09-25,he.wikipedia
160,מייקל_ג'קסון,337,2026-09-25,he.wikipedia
163,"מדינות_לפי_אוכלוסייה,_שטח,_צפיפות,_תמ""ג_ופיתוח_אנושי",336,2026-09-25,he.wikipedia
164,נבחרת_ישראל_בכדורגל,332,2026-09-25,he.wikipedia
164,ראש_המטה_הכללי,332,2026-09-25,he.wikipedia
166,ראש_ממשלת_ישראל,331,2026-09-25,he.wikipedia
167,שון_מונגוזה,330,2026-09-25,he.wikipedia
168,נגלריה_פאולרי,328,2026-09-25,he.wikipedia
169,חנה_לסלאו,323,2026-09-25,he.wikipedia
169,סיון_טלמור,323,2026-09-25,he.wikipedia
171,אד_גין,322,2026-09-25,he.wikipedia
