rank,article,views,date,project
1,Amanda_Rigby,50899,2026-09-20,id.wikipedia
2,Halaman_Utama,17360,2026-09-20,id.wikipedia
3,Andre_Taulany,16785,2026-09-20,id.wikipedia
4,Istimewa:Pencarian,9649,2026-09-20,id.wikipedia
5,Hasan_Abdullah_Sahal,4879,2026-09-20,id.wikipedia
6,Moreno_Soeprapto,3719,2026-09-20,id.wikipedia
7,Purbaya_Yudhi_Sadewa,3477,2026-09-20,id.wikipedia
8,The_Scandal_(seri_televisi_2026),3065,2026-09-20,id.wikipedia
9,Pondok_Modern_Darussalam_Gontor,2823,2026-09-20,id.wikipedia
10,Suahasil_Nazara,2562,2026-09-20,id.wikipedia
11,Ahmad_Sahal,2165,2026-09-20,id.wikipedia
12,Hong_Kong,2158,2026-09-20,id.wikipedia
13,Java_United_FC,2142,2026-09-20,id.wikipedia
14,Nusron_Wahid,2099,2026-09-20,id.wikipedia
15,Inna_lillahi_wa_inna_ilaihi_raji'un,1992,2026-09-20,id.wikipedia
16,Danny_Setiawan,1899,2026-09-20,id.wikipedia
17,The_Bayou,1871,2026-09-20,id.wikipedia
18,Indonesia,1785,2026-09-20,id.wikipedia
19,Pesta_Olahraga_Asia_2026,1664,2026-09-20,id.wikipedia
20,Balap_sepeda_motor,1638,2026-09-20,id.wikipedia
21,Kangen_Band,1491,2026-09-20,id.wikipedia
22,Jepang,1413,2026-09-20,id.wikipedia
23,Prabowo_Subianto,1374,2026-09-20,id.wikipedia
24,Raphinha,1319,2026-09-20,id.wikipedia
25,Imam_Zarkasyi,1181,2026-09-20,id.wikipedia
26,Kapal_induk_Italia_Giuseppe_Garibaldi,1175,2026-09-20,id.wikipedia
27,Karim_Benzema,1166,2026-09-20,id.wikipedia
28,Mario_Caesar,1135,2026-09-20,id.wikipedia
29,Terikat_Janji,1041,2026-09-20,id.wikipedia
30,Sengkolo:_Petaka_Satu_Suro,1036,2026-09-20,id.wikipedia
31,Amal_Fathullah_Zarkasyi,1024,2026-09-20,id.wikipedia
32,"Ibu,_Bagaimana_Aku_Tanpamu?",1016,2026-09-20,id.wikipedia
33,Film_B,1005,2026-09-20,id.wikipedia
34,Fabian_Hürzeler,967,2026-09-20,id.wikipedia
34,Givina_Lukita_Dewi,967,2026-09-20,id.wikipedia
36,Soemitro_Djojohadikoesoemo,939,2026-09-20,id.wikipedia
37,Djaka_Budi_Utama,933,2026-09-20,id.wikipedia
38,Istri_Satu-Satunya,930,2026-09-20,id.wikipedia
