rank,article,views,date,project
1,Pagina_principale,236406,2026-09-21,it.wikipedia
2,Lizzie_Borden,57513,2026-09-21,it.wikipedia
3,Sandro_Mazzola,45874,2026-09-21,it.wikipedia
4,Simone_Annicchiarico,38335,2026-09-21,it.wikipedia
5,Speciale:Ricerca,30056,2026-09-21,it.wikipedia
6,Cindy_Crawford,28495,2026-09-21,it.wikipedia
7,Giovannino_Guareschi,25395,2026-09-21,it.wikipedia
8,Walter_Chiari,22303,2026-09-21,it.wikipedia
9,Kaia_Gerber,15340,2026-09-21,it.wikipedia
10,Valentino_Mazzola,14889,2026-09-21,it.wikipedia
11,Alida_Chelli,13779,2026-09-21,it.wikipedia
12,Mario_Adinolfi,13405,2026-09-21,it.wikipedia
13,Monster_(serie_televisiva_2022),12456,2026-09-21,it.wikipedia
14,Aileen_Wuornos,12145,2026-09-21,it.wikipedia
15,Barbara_Bouchet,11472,2026-09-21,it.wikipedia
16,Chico_Forti,9979,2026-09-21,it.wikipedia
17,Peppermint_-_L'angelo_della_vendetta,9910,2026-09-21,it.wikipedia
18,Leone_Di_Lernia,9568,2026-09-21,it.wikipedia
19,Resident_Evil_(film_2026),9232,2026-09-21,it.wikipedia
20,La_sala_professori,9172,2026-09-21,it.wikipedia
21,Neto_Murara,9169,2026-09-21,it.wikipedia
22,Antonio_Tajani,9160,2026-09-21,it.wikipedia
23,A_30_secondi_dalla_fine,9135,2026-09-21,it.wikipedia
24,Massimiliano_Alvini,9017,2026-09-21,it.wikipedia
25,Maduka_Okoye,8881,2026-09-21,it.wikipedia
26,Pearl_Harbor_(film),8830,2026-09-21,it.wikipedia
27,The_Invite_-_Il_piacere_è_tutto_nostro,8804,2026-09-21,it.wikipedia
28,Beppe_Grillo,8579,2026-09-21,it.wikipedia
29,Lorenzo_Palmisani,7844,2026-09-21,it.wikipedia
30,Episodi_di_Monster_(quarta_stagione),7751,2026-09-21,it.wikipedia
31,Ferruccio_Mazzola,7608,2026-09-21,it.wikipedia
32,Diego_Moreira,7556,2026-09-21,it.wikipedia
33,Strage_dell'Heysel,7157,2026-09-21,it.wikipedia
34,Campionato_europeo_maschile_di_pallavolo_2026,7100,2026-09-21,it.wikipedia
35,Meclemburgo-Pomerania_Anteriore,7057,2026-09-21,it.wikipedia
36,Sebastian_Giovinco,6886,2026-09-21,it.wikipedia
37,Tamandua,6880,2026-09-21,it.wikipedia
38,Die_Linke,6861,2026-09-21,it.wikipedia
39,Benedetta_Porcaroli,6674,2026-09-21,it.wikipedia
40,Marina_La_Rosa,6616,2026-09-21,it.wikipedia
41,Andrea_Belotti,6510,2026-09-21,it.wikipedia
42,Carlo_Acutis,6402,2026-09-21,it.wikipedia
43,Episodi_de_Il_giovane_Montalbano_(seconda_stagione),6226,2026-09-21,it.wikipedia
44,L'uomo_dei_ghiacci_-_The_Ice_Road,6144,2026-09-21,it.wikipedia
45,Matteo_(apostolo),6091,2026-09-21,it.wikipedia
46,Il_giovane_Montalbano,6084,2026-09-21,it.wikipedia
