rank,article,views,date,project
1,メインページ,833922,2026-09-20,ja.wikipedia
2,長宗我部元親,144467,2026-09-20,ja.wikipedia
3,猪俣周杜,136586,2026-09-20,ja.wikipedia
4,Timelesz,112226,2026-09-20,ja.wikipedia
5,蜂須賀正勝,81883,2026-09-20,ja.wikipedia
6,特別:検索,68234,2026-09-20,ja.wikipedia
7,歌心りえ,45414,2026-09-20,ja.wikipedia
8,中田カウス・ボタン,40548,2026-09-20,ja.wikipedia
9,踊る大捜査線,39273,2026-09-20,ja.wikipedia
10,中村ゆり,36533,2026-09-20,ja.wikipedia
11,磯部寛之,31300,2026-09-20,ja.wikipedia
12,小林すすむ,30916,2026-09-20,ja.wikipedia
13,八木さおり,30632,2026-09-20,ja.wikipedia
14,若林有子,30425,2026-09-20,ja.wikipedia
15,宇野千代,29671,2026-09-20,ja.wikipedia
16,外山斎,27592,2026-09-20,ja.wikipedia
17,ヤン・ジシュカ,27421,2026-09-20,ja.wikipedia
18,石橋静河,26766,2026-09-20,ja.wikipedia
19,タナパック・ジョンジャイパー,25660,2026-09-20,ja.wikipedia
20,8iper,24906,2026-09-20,ja.wikipedia
21,篠塚大輝,24225,2026-09-20,ja.wikipedia
22,菊池風磨,24212,2026-09-20,ja.wikipedia
23,アレックス・カーク,24148,2026-09-20,ja.wikipedia
24,松岡茉優,22836,2026-09-20,ja.wikipedia
25,金近廉,22735,2026-09-20,ja.wikipedia
26,向井慧,22388,2026-09-20,ja.wikipedia
27,景井ひな,22313,2026-09-20,ja.wikipedia
28,オデュッセイア_(映画),21860,2026-09-20,ja.wikipedia
29,結城秀康,21689,2026-09-20,ja.wikipedia
30,VIVANT,21251,2026-09-20,ja.wikipedia
31,橋本将生,20891,2026-09-20,ja.wikipedia
32,豊臣秀吉,19947,2026-09-20,ja.wikipedia
33,ブラッサム,19942,2026-09-20,ja.wikipedia
34,漁港の肉子ちゃん,19867,2026-09-20,ja.wikipedia
35,MAX_(音楽グループ),19796,2026-09-20,ja.wikipedia
36,藤咲凪,19625,2026-09-20,ja.wikipedia
37,元山飛優,19161,2026-09-20,ja.wikipedia
38,小田凱人,18989,2026-09-20,ja.wikipedia
39,踊る大捜査線_THE_FINAL_新たなる希望,18947,2026-09-20,ja.wikipedia
40,豊臣秀長,18188,2026-09-20,ja.wikipedia
41,寺西拓人,18030,2026-09-20,ja.wikipedia
42,室井慎次,18027,2026-09-20,ja.wikipedia
43,織田裕二,16856,2026-09-20,ja.wikipedia
44,ジャン・ローレンス・ハーパージュニア,16833,2026-09-20,ja.wikipedia
45,深津絵里,16767,2026-09-20,ja.wikipedia
46,四国攻め,16603,2026-09-20,ja.wikipedia
47,福本莉子,16138,2026-09-20,ja.wikipedia
48,踊る大捜査線シリーズの登場人物一覧,15981,2026-09-20,ja.wikipedia
49,花岡すみれ,15953,2026-09-20,ja.wikipedia
50,八つ墓村,15285,2026-09-20,ja.wikipedia
51,森下千里,15141,2026-09-20,ja.wikipedia
52,ジョシュア・ヴァン,15119,2026-09-20,ja.wikipedia
53,長宗我部盛親,15085,2026-09-20,ja.wikipedia
54,TEE_(歌手),14914,2026-09-20,ja.wikipedia
55,豊臣秀次,14508,2026-09-20,ja.wikipedia
56,中島健人,14227,2026-09-20,ja.wikipedia
57,細野豪志,14214,2026-09-20,ja.wikipedia
58,原嘉孝,14201,2026-09-20,ja.wikipedia
59,近衛前久,13869,2026-09-20,ja.wikipedia
60,M!LK,13775,2026-09-20,ja.wikipedia
61,踊る大捜査線_N.E.W._メトロポリスを駆け抜けろ!,13150,2026-09-20,ja.wikipedia
62,佐野晶哉,12971,2026-09-20,ja.wikipedia
63,竜星涼,12534,2026-09-20,ja.wikipedia
64,長宗我部信親,12514,2026-09-20,ja.wikipedia
65,長宗我部氏,12401,2026-09-20,ja.wikipedia
65,小野田紀美,12401,2026-09-20,ja.wikipedia
67,豊臣兄弟!,12389,2026-09-20,ja.wikipedia
68,古川俊治,12324,2026-09-20,ja.wikipedia
69,谷忠澄,12187,2026-09-20,ja.wikipedia
70,山﨑一渉,12025,2026-09-20,ja.wikipedia
71,STARTO_ENTERTAINMENT,11946,2026-09-20,ja.wikipedia
72,石橋凌,11822,2026-09-20,ja.wikipedia
73,河野弘樹,11812,2026-09-20,ja.wikipedia
74,アジア競技大会,11392,2026-09-20,ja.wikipedia
75,岡崎紗絵,11298,2026-09-20,ja.wikipedia
76,富栄ドラム,11144,2026-09-20,ja.wikipedia
77,オデュッセイア,11066,2026-09-20,ja.wikipedia
78,ファイル:Sukhoi_su-27_(blue)_flying_in_sky.jpg,10994,2026-09-20,ja.wikipedia
79,堀部圭亮,10991,2026-09-20,ja.wikipedia
80,チェンソーマン,10917,2026-09-20,ja.wikipedia
81,塚本恋乃葉,10656,2026-09-20,ja.wikipedia
82,鈴木聡美,10505,2026-09-20,ja.wikipedia
83,山田涼介,10478,2026-09-20,ja.wikipedia
84,仁科亜季子,10447,2026-09-20,ja.wikipedia
85,さユり,10274,2026-09-20,ja.wikipedia
86,田中平和,10165,2026-09-20,ja.wikipedia
87,熊谷連続殺人事件,10057,2026-09-20,ja.wikipedia
88,菊池常利,10016,2026-09-20,ja.wikipedia
89,キルギス,9788,2026-09-20,ja.wikipedia
90,アレッシャンドリ・パントージャ,9729,2026-09-20,ja.wikipedia
91,池田瑛紗,9706,2026-09-20,ja.wikipedia
92,市川猿弥_(2代目),9702,2026-09-20,ja.wikipedia
93,簗和生,9647,2026-09-20,ja.wikipedia
94,SHAKALABBITS,9617,2026-09-20,ja.wikipedia
95,国仲涼子,9574,2026-09-20,ja.wikipedia
96,李賢重,9559,2026-09-20,ja.wikipedia
97,原田美枝子,9519,2026-09-20,ja.wikipedia
98,るるたん,9480,2026-09-20,ja.wikipedia
99,ファイル:Hitler_portrait_crop.jpg,9450,2026-09-20,ja.wikipedia
100,天野はな,9436,2026-09-20,ja.wikipedia
101,パトリシオ・ピットブル,9322,2026-09-20,ja.wikipedia
102,マリウス葉,9301,2026-09-20,ja.wikipedia
103,アルマン・ツァルキヤン,9102,2026-09-20,ja.wikipedia
104,横山だいすけ,9093,2026-09-20,ja.wikipedia
105,堀大輔,9062,2026-09-20,ja.wikipedia
106,田中瑛斗,9057,2026-09-20,ja.wikipedia
107,笹川博義,9017,2026-09-20,ja.wikipedia
107,今井絵理子,9017,2026-09-20,ja.wikipedia
109,虚舟,8964,2026-09-20,ja.wikipedia
110,趣里,8835,2026-09-20,ja.wikipedia
111,松村北斗,8830,2026-09-20,ja.wikipedia
112,藤ノ川成剛,8732,2026-09-20,ja.wikipedia
113,山崎円美,8712,2026-09-20,ja.wikipedia
114,上田麗奈,8682,2026-09-20,ja.wikipedia
115,篠崎愛,8674,2026-09-20,ja.wikipedia
116,室井慎次_生き続ける者,8578,2026-09-20,ja.wikipedia
117,Aespa,8549,2026-09-20,ja.wikipedia
118,敬老の日,8529,2026-09-20,ja.wikipedia
119,黄泉のツガイ,8481,2026-09-20,ja.wikipedia
120,小林涼子,8458,2026-09-20,ja.wikipedia
121,宮﨑あおい,8339,2026-09-20,ja.wikipedia
122,塩野瑛久,8271,2026-09-20,ja.wikipedia
123,山本モナ,8240,2026-09-20,ja.wikipedia
124,オースティン・パワーズ,8181,2026-09-20,ja.wikipedia
125,無職転生_〜異世界行ったら本気だす〜,8172,2026-09-20,ja.wikipedia
126,あいみょん,8053,2026-09-20,ja.wikipedia
127,柿谷曜一朗,7988,2026-09-20,ja.wikipedia
128,ちいかわ_なんか小さくてかわいいやつ,7959,2026-09-20,ja.wikipedia
128,徳川家康,7959,2026-09-20,ja.wikipedia
130,踊る大捜査線_THE_MOVIE,7908,2026-09-20,ja.wikipedia
131,［Alexandros］,7855,2026-09-20,ja.wikipedia
132,長谷川理恵,7831,2026-09-20,ja.wikipedia
133,ふつつかな悪女ではございますが,7809,2026-09-20,ja.wikipedia
134,仮面ライダーマイス,7710,2026-09-20,ja.wikipedia
135,告白-25年目の秘密-,7652,2026-09-20,ja.wikipedia
136,田村真子,7617,2026-09-20,ja.wikipedia
137,蜂須賀家政,7610,2026-09-20,ja.wikipedia
138,野口五郎,7606,2026-09-20,ja.wikipedia
139,大泉洋,7598,2026-09-20,ja.wikipedia
140,松島聡,7564,2026-09-20,ja.wikipedia
141,香音,7535,2026-09-20,ja.wikipedia
142,有岡大貴,7502,2026-09-20,ja.wikipedia
143,シェーファーアヴィ幸樹,7452,2026-09-20,ja.wikipedia
144,山中崇,7442,2026-09-20,ja.wikipedia
145,小川敦也,7435,2026-09-20,ja.wikipedia
146,Hey!_Say!_JUMP,7403,2026-09-20,ja.wikipedia
147,踊る大捜査線_THE_MOVIE3_ヤツらを解放せよ!,7375,2026-09-20,ja.wikipedia
148,ミヤコ_(お笑い芸人),7352,2026-09-20,ja.wikipedia
149,ぱーてぃーちゃん,7345,2026-09-20,ja.wikipedia
150,逆賊の幕臣,7258,2026-09-20,ja.wikipedia
151,EBiDAN,7126,2026-09-20,ja.wikipedia
152,クリストファー・ノーラン,7113,2026-09-20,ja.wikipedia
153,佐藤勝利,7107,2026-09-20,ja.wikipedia
154,東国原英夫,7093,2026-09-20,ja.wikipedia
155,Meiyo,7077,2026-09-20,ja.wikipedia
156,仲里依紗,7054,2026-09-20,ja.wikipedia
157,見上愛,7007,2026-09-20,ja.wikipedia
158,恩田すみれ,6980,2026-09-20,ja.wikipedia
159,大神雄子,6940,2026-09-20,ja.wikipedia
160,浜辺美波,6868,2026-09-20,ja.wikipedia
161,滝川英治,6807,2026-09-20,ja.wikipedia
162,踊る大捜査線_THE_MOVIE_2_レインボーブリッジを封鎖せよ!,6776,2026-09-20,ja.wikipedia
163,倉木華,6771,2026-09-20,ja.wikipedia
164,溝口勇児,6729,2026-09-20,ja.wikipedia
165,リジー・ボーデン,6716,2026-09-20,ja.wikipedia
166,原菜乃華,6704,2026-09-20,ja.wikipedia
167,SixTONES,6693,2026-09-20,ja.wikipedia
168,女子高生コンクリート詰め殺人事件,6686,2026-09-20,ja.wikipedia
169,中島歩,6550,2026-09-20,ja.wikipedia
170,真夏の夜の淫夢,6503,2026-09-20,ja.wikipedia
171,堺雅人,6484,2026-09-20,ja.wikipedia
172,萩原利久,6476,2026-09-20,ja.wikipedia
173,鉄鍋のジャン!,6452,2026-09-20,ja.wikipedia
174,風、薫る,6443,2026-09-20,ja.wikipedia
175,笹川良一,6438,2026-09-20,ja.wikipedia
176,玉木宏,6392,2026-09-20,ja.wikipedia
