rank,article,views,date,project
1,Hoofdpagina,136053,2026-09-21,nl.wikipedia
2,Speciaal:Zoeken,25576,2026-09-21,nl.wikipedia
3,Lizzie_Borden,16597,2026-09-21,nl.wikipedia
4,Cindy_Crawford_(model),5921,2026-09-21,nl.wikipedia
5,Kefah_Allush,5479,2026-09-21,nl.wikipedia
6,Elanor_Boekholt-O'Sullivan,5087,2026-09-21,nl.wikipedia
7,Aileen_Wuornos,4322,2026-09-21,nl.wikipedia
8,Paulien_Cornelisse,4287,2026-09-21,nl.wikipedia
9,Marco_van_Basten,3319,2026-09-21,nl.wikipedia
10,Camiel_Eurlings,3126,2026-09-21,nl.wikipedia
11,Nettiquette,2968,2026-09-21,nl.wikipedia
12,Monster:_The_Lizzie_Borden_Story,2907,2026-09-21,nl.wikipedia
13,Nienke_van_Dijk,2531,2026-09-21,nl.wikipedia
14,Ryan_Gal,2457,2026-09-21,nl.wikipedia
15,Mecklenburg-Voor-Pommeren,2361,2026-09-21,nl.wikipedia
16,Jom_Kipoer,2351,2026-09-21,nl.wikipedia
17,Ben_Saunders_(zanger),2323,2026-09-21,nl.wikipedia
18,De_eetclub_(boek),2007,2026-09-21,nl.wikipedia
19,Xavi_Hernández,1937,2026-09-21,nl.wikipedia
20,Ella_Beatty,1918,2026-09-21,nl.wikipedia
21,De_Verraders_(Vlaanderen),1914,2026-09-21,nl.wikipedia
22,Kaia_Gerber,1907,2026-09-21,nl.wikipedia
23,Roos_Moggré,1819,2026-09-21,nl.wikipedia
24,Remco_Evenepoel,1792,2026-09-21,nl.wikipedia
25,Die_Linke,1787,2026-09-21,nl.wikipedia
26,De_twaalf,1774,2026-09-21,nl.wikipedia
27,21_september,1709,2026-09-21,nl.wikipedia
28,Ronde_Huis,1701,2026-09-21,nl.wikipedia
29,Lijst_van_wereldkampioenen_tijdrit_elite_mannen,1680,2026-09-21,nl.wikipedia
30,Alternative_für_Deutschland,1672,2026-09-21,nl.wikipedia
31,Wina_Ricardo,1600,2026-09-21,nl.wikipedia
32,Charlie_Chan_Dagelet,1569,2026-09-21,nl.wikipedia
33,Doran_(zanger),1563,2026-09-21,nl.wikipedia
34,Sven_Pichal,1551,2026-09-21,nl.wikipedia
35,Amed_SFK,1538,2026-09-21,nl.wikipedia
36,Eljero_Elia,1524,2026-09-21,nl.wikipedia
37,Lijst_van_personen_overleden_in_september_2026,1495,2026-09-21,nl.wikipedia
38,Nederland,1400,2026-09-21,nl.wikipedia
39,Frans_Halsema,1399,2026-09-21,nl.wikipedia
40,Speciaal:RecenteWijzigingen,1298,2026-09-21,nl.wikipedia
