rank,article,views,date,project
1,Wikipedia:Strona_główna,131147,2026-09-22,pl.wikipedia
2,Mistrzostwa_Europy_w_Piłce_Siatkowej_Mężczyzn_2026,30221,2026-09-22,pl.wikipedia
3,Lizzie_Borden,22509,2026-09-22,pl.wikipedia
4,Specjalna:Szukaj,18496,2026-09-22,pl.wikipedia
5,Mrozu,15466,2026-09-22,pl.wikipedia
6,Filip_Chajzer,12365,2026-09-22,pl.wikipedia
7,Izabela_Kuna,10439,2026-09-22,pl.wikipedia
8,Wilfredo_León,7383,2026-09-22,pl.wikipedia
9,Cindy_Crawford,6669,2026-09-22,pl.wikipedia
10,Lalka_(powieść),6028,2026-09-22,pl.wikipedia
11,Mistrzostwa_Europy_w_piłce_siatkowej_mężczyzn,5853,2026-09-22,pl.wikipedia
12,Reprezentacja_Polski_w_piłce_siatkowej_mężczyzn,5677,2026-09-22,pl.wikipedia
13,Wikipedia:Wiki_Lubi_Zabytki_2026,5381,2026-09-22,pl.wikipedia
14,Stanisław_Szelc,5105,2026-09-22,pl.wikipedia
15,Marek_Modzelewski,5086,2026-09-22,pl.wikipedia
16,Big_Ben,4482,2026-09-22,pl.wikipedia
17,Polska,4330,2026-09-22,pl.wikipedia
18,Piotr_Adamczyk,4139,2026-09-22,pl.wikipedia
19,Wojciech_Kowalczyk,4138,2026-09-22,pl.wikipedia
20,Sandra_Drzymalska,4137,2026-09-22,pl.wikipedia
21,Aileen_Wuornos,3954,2026-09-22,pl.wikipedia
22,Massimo_Botti,3883,2026-09-22,pl.wikipedia
23,Reprezentacja_Niemiec_w_piłce_siatkowej_mężczyzn,3844,2026-09-22,pl.wikipedia
24,Jakub_Wiech,3606,2026-09-22,pl.wikipedia
25,Nikola_Grbić,3603,2026-09-22,pl.wikipedia
26,Michał_Winiarski,3570,2026-09-22,pl.wikipedia
27,Alojzy_Lysko,3545,2026-09-22,pl.wikipedia
28,Bartłomiej_Lemański,3485,2026-09-22,pl.wikipedia
29,Łukasz_Gibała,3358,2026-09-22,pl.wikipedia
30,Mistrzostwa_świata_w_piłce_siatkowej_mężczyzn,3196,2026-09-22,pl.wikipedia
31,Kaia_Gerber,3108,2026-09-22,pl.wikipedia
32,Bolesław_Prus,3084,2026-09-22,pl.wikipedia
33,Dariusz_Kurzelewski,3083,2026-09-22,pl.wikipedia
34,Violetta_Villas,3075,2026-09-22,pl.wikipedia
35,Zmarli_we_wrześniu_2026,3070,2026-09-22,pl.wikipedia
36,Bartłomiej_Bołądź,2995,2026-09-22,pl.wikipedia
37,22_września,2908,2026-09-22,pl.wikipedia
38,Lalka_(serial_telewizyjny_2026),2851,2026-09-22,pl.wikipedia
39,Justyna_Wasilewska,2764,2026-09-22,pl.wikipedia
40,Kuba_Wojewódzki,2616,2026-09-22,pl.wikipedia
41,Biały_Lotos,2587,2026-09-22,pl.wikipedia
42,Jessica_Mercedes_Kirschner,2579,2026-09-22,pl.wikipedia
43,Lalka_(film_2026),2563,2026-09-22,pl.wikipedia
44,Karolina_Szymczak,2501,2026-09-22,pl.wikipedia
45,Zygmunt_Chajzer,2455,2026-09-22,pl.wikipedia
46,Radio_Nowy_Świat,2281,2026-09-22,pl.wikipedia
47,Izabela_Łęcka,2242,2026-09-22,pl.wikipedia
48,Eliza_Orzeszkowa,2199,2026-09-22,pl.wikipedia
49,Nestoriusz,2197,2026-09-22,pl.wikipedia
50,Tomasz_Fornal,2084,2026-09-22,pl.wikipedia
51,Adam_Andruszkiewicz,2069,2026-09-22,pl.wikipedia
51,Maryla_Rodowicz,2069,2026-09-22,pl.wikipedia
53,Stanisław_Wokulski,2031,2026-09-22,pl.wikipedia
54,Zegarmistrz_światła,2018,2026-09-22,pl.wikipedia
55,Adam_Bodnar,2000,2026-09-22,pl.wikipedia
56,Mistrzostwa_Świata_w_Piłce_Siatkowej_Mężczyzn_2027,1954,2026-09-22,pl.wikipedia
57,Tomasz_Schuchardt,1855,2026-09-22,pl.wikipedia
58,Mistrzostwa_Świata_w_Piłce_Siatkowej_Mężczyzn_2025,1854,2026-09-22,pl.wikipedia
59,Barbara_Chrzczonowicz,1839,2026-09-22,pl.wikipedia
60,Warszawa,1837,2026-09-22,pl.wikipedia
61,Potaż,1761,2026-09-22,pl.wikipedia
62,Michał_Fajbusiewicz,1742,2026-09-22,pl.wikipedia
63,Wojciech_Mońka,1721,2026-09-22,pl.wikipedia
64,Presley_Gerber,1700,2026-09-22,pl.wikipedia
65,Mistrzostwa_Europy_w_Piłce_Siatkowej_Mężczyzn_2023,1673,2026-09-22,pl.wikipedia
66,Donald_Trump,1662,2026-09-22,pl.wikipedia
67,Jakub_Popiwczak,1660,2026-09-22,pl.wikipedia
68,Bruce_Willis,1651,2026-09-22,pl.wikipedia
69,Andrzej_Mackiewicz,1650,2026-09-22,pl.wikipedia
70,Elżbieta_Batory,1643,2026-09-22,pl.wikipedia
71,Specjalna:Ostatnie_zmiany,1636,2026-09-22,pl.wikipedia
72,Kłamstwo_oświęcimskie,1629,2026-09-22,pl.wikipedia
73,Michał_Kucharczyk,1588,2026-09-22,pl.wikipedia
74,Ił-20,1549,2026-09-22,pl.wikipedia
75,Stany_Zjednoczone,1520,2026-09-22,pl.wikipedia
76,Paweł_Maślona,1497,2026-09-22,pl.wikipedia
77,Baza_tarczy_antyrakietowej_w_Redzikowie,1490,2026-09-22,pl.wikipedia
78,Irena_Santor,1480,2026-09-22,pl.wikipedia
79,Ranking_FIVB,1476,2026-09-22,pl.wikipedia
80,Jacek_Majchrowski,1462,2026-09-22,pl.wikipedia
81,Kabaret_Elita,1456,2026-09-22,pl.wikipedia
82,Kamila_Urzędowska,1426,2026-09-22,pl.wikipedia
83,Lalka_(serial_telewizyjny_1977),1422,2026-09-22,pl.wikipedia
84,Alicja_Lenczewska,1408,2026-09-22,pl.wikipedia
85,Dominika_Chorosińska,1403,2026-09-22,pl.wikipedia
86,Wikipedia,1400,2026-09-22,pl.wikipedia
87,Hayden_Panettiere,1382,2026-09-22,pl.wikipedia
88,Włodzimierz_Czarzasty,1362,2026-09-22,pl.wikipedia
89,Monika_Piątkowska_(polityk),1351,2026-09-22,pl.wikipedia
90,Jan_Holoubek,1345,2026-09-22,pl.wikipedia
91,Tadeusz_Woźniak_(muzyk),1317,2026-09-22,pl.wikipedia
92,Malta,1316,2026-09-22,pl.wikipedia
93,Ed_Gein,1307,2026-09-22,pl.wikipedia
94,Maksymilian_Granieczny,1299,2026-09-22,pl.wikipedia
95,Władimir_Putin,1289,2026-09-22,pl.wikipedia
95,Ulica_Włóczków_w_Krakowie,1289,2026-09-22,pl.wikipedia
97,Lalka_(film_1968),1276,2026-09-22,pl.wikipedia
98,Robert_Lewandowski,1266,2026-09-22,pl.wikipedia
99,Szybcy_i_wściekli_10,1265,2026-09-22,pl.wikipedia
100,Redshirt,1233,2026-09-22,pl.wikipedia
101,Bartosz_Kurek,1226,2026-09-22,pl.wikipedia
102,Jagoda_Szelc,1224,2026-09-22,pl.wikipedia
102,Katarzyna_Laskowska,1224,2026-09-22,pl.wikipedia
104,Niemcy,1213,2026-09-22,pl.wikipedia
105,Jesień,1186,2026-09-22,pl.wikipedia
106,Anton_Brehme,1181,2026-09-22,pl.wikipedia
107,Assago,1161,2026-09-22,pl.wikipedia
108,Jan_Englert,1160,2026-09-22,pl.wikipedia
109,Janusz_Bukowski,1158,2026-09-22,pl.wikipedia
110,Szymon_Jakubiszak,1157,2026-09-22,pl.wikipedia
111,Krzysztof_Jasiński,1154,2026-09-22,pl.wikipedia
111,Dzień_bez_Samochodu,1154,2026-09-22,pl.wikipedia
113,Karol_Nawrocki,1148,2026-09-22,pl.wikipedia
114,Antonio_Vivaldi,1135,2026-09-22,pl.wikipedia
115,Paweł_Zagumny,1134,2026-09-22,pl.wikipedia
116,Rosja,1131,2026-09-22,pl.wikipedia
117,Dzień_Chłopaka,1127,2026-09-22,pl.wikipedia
118,Dług_(film_1999),1117,2026-09-22,pl.wikipedia
119,Estonia,1109,2026-09-22,pl.wikipedia
120,Tobias_Krick,1100,2026-09-22,pl.wikipedia
121,Order_Odrodzenia_Polski,1095,2026-09-22,pl.wikipedia
122,Adolf_Hitler,1093,2026-09-22,pl.wikipedia
123,Bolesław_Bierut,1089,2026-09-22,pl.wikipedia
124,Przynęta_(amerykański_film_2019),1087,2026-09-22,pl.wikipedia
125,Alternatywa_dla_Niemiec,1083,2026-09-22,pl.wikipedia
126,Zapora_Vajont,1076,2026-09-22,pl.wikipedia
127,Autostrady_i_drogi_ekspresowe_w_Polsce,1074,2026-09-22,pl.wikipedia
128,Inwazja_Rosji_na_Ukrainę,1071,2026-09-22,pl.wikipedia
129,Jarosław_Jechorek,1070,2026-09-22,pl.wikipedia
130,Jerzy_Skoczylas_(satyryk),1067,2026-09-22,pl.wikipedia
131,Die_Linke,1065,2026-09-22,pl.wikipedia
132,Klara_(serial_telewizyjny),1064,2026-09-22,pl.wikipedia
133,Cypr,1054,2026-09-22,pl.wikipedia
134,Kraków,1051,2026-09-22,pl.wikipedia
135,Ewa_Wawrzoń,1040,2026-09-22,pl.wikipedia
136,Sobiesław_Zasada,1037,2026-09-22,pl.wikipedia
136,Helena_Englert,1037,2026-09-22,pl.wikipedia
136,Litwa,1037,2026-09-22,pl.wikipedia
139,Leszek_Niedzielski,1009,2026-09-22,pl.wikipedia
140,Kamil_Semeniuk,1008,2026-09-22,pl.wikipedia
141,Henryk_VIII_Tudor,1006,2026-09-22,pl.wikipedia
141,Maffashion,1006,2026-09-22,pl.wikipedia
143,Michał_Marszał,1002,2026-09-22,pl.wikipedia
144,Gia_Carangi,991,2026-09-22,pl.wikipedia
145,Czarnogóra,988,2026-09-22,pl.wikipedia
146,Aleksander_Milwiw-Baron,987,2026-09-22,pl.wikipedia
147,Arkadiusz_Nader,984,2026-09-22,pl.wikipedia
148,Równonoc_jesienna,982,2026-09-22,pl.wikipedia
149,Jeffrey_Dahmer,976,2026-09-22,pl.wikipedia
150,Sylwia_Gregorczyk-Abram,972,2026-09-22,pl.wikipedia
151,Siedzuń_sosnowy,968,2026-09-22,pl.wikipedia
152,Mariusz_Błaszczak,964,2026-09-22,pl.wikipedia
153,Ukraina,957,2026-09-22,pl.wikipedia
154,C.K._Dezerterzy_(film),955,2026-09-22,pl.wikipedia
154,Richard_Gere,955,2026-09-22,pl.wikipedia
156,Województwo,950,2026-09-22,pl.wikipedia
156,Plik:FX_Logo_2023.svg,950,2026-09-22,pl.wikipedia
158,Łukasz_Nosek,944,2026-09-22,pl.wikipedia
158,Wiolka_Walaszczyk,944,2026-09-22,pl.wikipedia
160,Turcja,941,2026-09-22,pl.wikipedia
160,Wrocław,941,2026-09-22,pl.wikipedia
162,Miłosz_Kłeczek,936,2026-09-22,pl.wikipedia
163,Lista_państw_Europy,933,2026-09-22,pl.wikipedia
164,Liga_Narodów_w_Piłce_Siatkowej_Mężczyzn_2026,931,2026-09-22,pl.wikipedia
165,Radosław_Sikorski,930,2026-09-22,pl.wikipedia
166,Donald_Tusk,928,2026-09-22,pl.wikipedia
167,Jan_Kaczmarek_(satyryk),926,2026-09-22,pl.wikipedia
168,Jerzy_Kamas,917,2026-09-22,pl.wikipedia
169,Mistrzostwa_Świata_w_Kolarstwie_Szosowym_2026,913,2026-09-22,pl.wikipedia
170,Wielka_Brytania,908,2026-09-22,pl.wikipedia
171,Sebastian_Karpiel-Bułecka,907,2026-09-22,pl.wikipedia
172,Piotr_Gruszka_(siatkarz),904,2026-09-22,pl.wikipedia
173,Plik:FX_Comedy_Logo_2023.svg,903,2026-09-22,pl.wikipedia
174,Maciej_Berek,901,2026-09-22,pl.wikipedia
175,Marek_Kondrat,895,2026-09-22,pl.wikipedia
176,Singapur,890,2026-09-22,pl.wikipedia
177,Aleksandra_Owca,885,2026-09-22,pl.wikipedia
178,Przemysław_Rosati,884,2026-09-22,pl.wikipedia
179,Maria_Skłodowska-Curie,881,2026-09-22,pl.wikipedia
180,Beata_Tyszkiewicz,866,2026-09-22,pl.wikipedia
180,Liga_Narodów_UEFA,866,2026-09-22,pl.wikipedia
182,Bluszcz_(czasopismo),863,2026-09-22,pl.wikipedia
183,Dawid_Bratko,854,2026-09-22,pl.wikipedia
184,Teorie_spiskowe_o_zamachach_z_11_września_2001,852,2026-09-22,pl.wikipedia
185,Łukasz_Kadziewicz,851,2026-09-22,pl.wikipedia
185,Bezczel,851,2026-09-22,pl.wikipedia
185,Diana_(księżna_Walii),851,2026-09-22,pl.wikipedia
188,Krwistoborowik_szatański,850,2026-09-22,pl.wikipedia
189,Dieta_planetarna,847,2026-09-22,pl.wikipedia
190,Dancing_with_the_Stars._Taniec_z_gwiazdami,846,2026-09-22,pl.wikipedia
191,Koalicja_rządowa,843,2026-09-22,pl.wikipedia
192,Liga_Narodów_UEFA_(2026/2027),842,2026-09-22,pl.wikipedia
193,23_września,839,2026-09-22,pl.wikipedia
193,II_wojna_światowa,839,2026-09-22,pl.wikipedia
195,Związek_Socjalistycznych_Republik_Radzieckich,838,2026-09-22,pl.wikipedia
196,Muhammad_ibn_Raszid_Al_Maktum,835,2026-09-22,pl.wikipedia
197,Władysław_Kosiniak-Kamysz,834,2026-09-22,pl.wikipedia
198,Szybcy_i_wściekli_(seria),832,2026-09-22,pl.wikipedia
199,Mikołaj_Kopernik,825,2026-09-22,pl.wikipedia
200,BMW_serii_3,824,2026-09-22,pl.wikipedia
201,Włochy,822,2026-09-22,pl.wikipedia
202,Magda_Gessler,820,2026-09-22,pl.wikipedia
203,Elżbieta_II,814,2026-09-22,pl.wikipedia
203,Eldo,814,2026-09-22,pl.wikipedia
205,Izrael,807,2026-09-22,pl.wikipedia
