rank,article,views,date,project
1,Wikipédia:Página_principal,128067,2026-09-20,pt.wikipedia
2,Lizzie_Borden,64542,2026-09-20,pt.wikipedia
3,Especial:Pesquisar,21581,2026-09-20,pt.wikipedia
4,Wikipédia:Wiki_Loves_Monuments_2026/Brasil/Sobre,11836,2026-09-20,pt.wikipedia
5,Aileen_Wuornos,9901,2026-09-20,pt.wikipedia
6,Luísa_Sonza,9357,2026-09-20,pt.wikipedia
7,Copa_do_Nordeste_de_Futebol_de_2026,6653,2026-09-20,pt.wikipedia
8,Trace_Brasil,6647,2026-09-20,pt.wikipedia
9,Daniel_Vorcaro,6057,2026-09-20,pt.wikipedia
10,Sepultura_(banda),5569,2026-09-20,pt.wikipedia
11,Pesquisas_de_opinião_para_a_eleição_presidencial_no_Brasil_em_2026,4817,2026-09-20,pt.wikipedia
12,Joshua_Van,4117,2026-09-20,pt.wikipedia
13,Renan_Santos,4114,2026-09-20,pt.wikipedia
14,Augusto_Cury,3812,2026-09-20,pt.wikipedia
15,Derrick_Green,3680,2026-09-20,pt.wikipedia
16,Luiz_Inácio_Lula_da_Silva,3630,2026-09-20,pt.wikipedia
17,Lista_de_presidentes_do_Brasil,3499,2026-09-20,pt.wikipedia
18,Brasil,3414,2026-09-20,pt.wikipedia
19,Khat,3373,2026-09-20,pt.wikipedia
20,Max_Cavalera,3258,2026-09-20,pt.wikipedia
21,Ronaldo_Caiado,3211,2026-09-20,pt.wikipedia
22,Raphinha,3199,2026-09-20,pt.wikipedia
23,Eleição_presidencial_no_Brasil_em_2026,3193,2026-09-20,pt.wikipedia
24,Bruno_Duarte,3181,2026-09-20,pt.wikipedia
25,Patrícia_de_Sabrit,3165,2026-09-20,pt.wikipedia
26,Hulk_(futebolista),3101,2026-09-20,pt.wikipedia
27,Vanessa_Lóes,3092,2026-09-20,pt.wikipedia
28,Arman_Tsarukyan,3013,2026-09-20,pt.wikipedia
29,Sérgio_Hondjakoff,2991,2026-09-20,pt.wikipedia
30,Junno_Andrade,2849,2026-09-20,pt.wikipedia
31,Alexandre_Pantoja,2795,2026-09-20,pt.wikipedia
32,Flávio_Bolsonaro,2633,2026-09-20,pt.wikipedia
33,Andreas_Kisser,2630,2026-09-20,pt.wikipedia
34,Ella_Beatty,2608,2026-09-20,pt.wikipedia
35,Isabel_Bathory,2558,2026-09-20,pt.wikipedia
36,Pedro_Emanuel,2527,2026-09-20,pt.wikipedia
37,Luiz_Caldas,2476,2026-09-20,pt.wikipedia
38,Rosângela_Lula_da_Silva,2453,2026-09-20,pt.wikipedia
39,Deltan_Dallagnol,2408,2026-09-20,pt.wikipedia
40,Paulo_Gonet,2374,2026-09-20,pt.wikipedia
41,Monster:_The_Lizzie_Borden_Story,2350,2026-09-20,pt.wikipedia
42,Weverton,2348,2026-09-20,pt.wikipedia
43,Ronaldo_Nazário,2254,2026-09-20,pt.wikipedia
44,Igor_Cavalera,2243,2026-09-20,pt.wikipedia
45,Chad_Gilbert,2192,2026-09-20,pt.wikipedia
46,Hakim_Ziyech,2154,2026-09-20,pt.wikipedia
47,Yom_Kippur,2143,2026-09-20,pt.wikipedia
48,Clube_de_Regatas_do_Flamengo,2131,2026-09-20,pt.wikipedia
49,IFood,2116,2026-09-20,pt.wikipedia
50,20_de_setembro,2053,2026-09-20,pt.wikipedia
51,Ed_Gein,2033,2026-09-20,pt.wikipedia
52,Thiago_Lacerda,2018,2026-09-20,pt.wikipedia
53,Floriano_de_Azevedo_Marques_Neto,2016,2026-09-20,pt.wikipedia
54,Jair_Bolsonaro,1998,2026-09-20,pt.wikipedia
55,Quem_Ama_Cuida,1991,2026-09-20,pt.wikipedia
56,Facundo_Colidio,1979,2026-09-20,pt.wikipedia
57,Elis_Regina,1976,2026-09-20,pt.wikipedia
58,Fábio_Deivson_Lopes_Maciel,1971,2026-09-20,pt.wikipedia
59,Manuel_Armoa,1935,2026-09-20,pt.wikipedia
60,Marco_Silva,1928,2026-09-20,pt.wikipedia
61,Guerra_dos_Farrapos,1922,2026-09-20,pt.wikipedia
62,Giovanna_Gold,1920,2026-09-20,pt.wikipedia
63,Lista_de_filmes_de_maior_bilheteria,1892,2026-09-20,pt.wikipedia
64,Agostinho_Neto,1884,2026-09-20,pt.wikipedia
65,Renato_Gaúcho,1818,2026-09-20,pt.wikipedia
66,Maurício_Ruffy,1784,2026-09-20,pt.wikipedia
67,Gloria_Groove,1770,2026-09-20,pt.wikipedia
68,André_Mendonça,1749,2026-09-20,pt.wikipedia
69,Campeonato_Brasileiro_de_Futebol_de_2026_-_Série_A,1734,2026-09-20,pt.wikipedia
70,Alexandre_de_Moraes,1733,2026-09-20,pt.wikipedia
71,Demet_Özdemir,1731,2026-09-20,pt.wikipedia
72,Mortes_em_setembro_de_2026,1724,2026-09-20,pt.wikipedia
73,Campeonato_Brasileiro_de_Futebol,1712,2026-09-20,pt.wikipedia
74,Charlie_Hunnam,1699,2026-09-20,pt.wikipedia
75,Myanmar,1696,2026-09-20,pt.wikipedia
76,UFC_331,1669,2026-09-20,pt.wikipedia
77,Jeffrey_Dahmer,1646,2026-09-20,pt.wikipedia
78,Renato_Aragão,1645,2026-09-20,pt.wikipedia
79,Memphis_Depay,1608,2026-09-20,pt.wikipedia
79,Diego_Simeone,1608,2026-09-20,pt.wikipedia
81,Pabllo_Vittar,1601,2026-09-20,pt.wikipedia
82,Gilmar_Mendes,1589,2026-09-20,pt.wikipedia
83,TV_Câmara,1581,2026-09-20,pt.wikipedia
84,Fundação_Padre_Anchieta,1564,2026-09-20,pt.wikipedia
85,Alan_Ritchson,1560,2026-09-20,pt.wikipedia
86,Pedro_Lima_(futebolista),1543,2026-09-20,pt.wikipedia
87,Patricio_Pitbull,1535,2026-09-20,pt.wikipedia
88,AMBEV,1510,2026-09-20,pt.wikipedia
89,Nina_Marie_Daniele,1478,2026-09-20,pt.wikipedia
90,Gable_Steveson,1476,2026-09-20,pt.wikipedia
90,Fotos_dos_Mamonas_Assassinas_mortos,1476,2026-09-20,pt.wikipedia
92,Estados_Unidos,1465,2026-09-20,pt.wikipedia
93,Neymar,1445,2026-09-20,pt.wikipedia
94,XVideos,1440,2026-09-20,pt.wikipedia
95,Red_Bull_Bragantino,1437,2026-09-20,pt.wikipedia
96,Club_de_Regatas_Vasco_da_Gama,1427,2026-09-20,pt.wikipedia
97,2026_na_televisão_brasileira,1424,2026-09-20,pt.wikipedia
98,Mariana_Ximenes,1414,2026-09-20,pt.wikipedia
99,Alejandro_Grimaldo,1407,2026-09-20,pt.wikipedia
99,Tonico_&_Tinoco,1407,2026-09-20,pt.wikipedia
101,Google_Chrome,1395,2026-09-20,pt.wikipedia
102,Flávio_Dino,1385,2026-09-20,pt.wikipedia
103,Holocausto,1381,2026-09-20,pt.wikipedia
104,Nikolas_Ferreira,1371,2026-09-20,pt.wikipedia
104,MC_Livinho,1371,2026-09-20,pt.wikipedia
106,Copa_Libertadores_da_América,1364,2026-09-20,pt.wikipedia
107,Ataques_de_11_de_setembro_de_2001,1357,2026-09-20,pt.wikipedia
108,Q,1356,2026-09-20,pt.wikipedia
109,Sport_Club_Corinthians_Paulista,1348,2026-09-20,pt.wikipedia
110,Fábio_Faria_(político),1343,2026-09-20,pt.wikipedia
111,Bernardinho,1335,2026-09-20,pt.wikipedia
112,Floresta_Esporte_Clube,1331,2026-09-20,pt.wikipedia
112,Darlan_Souza,1331,2026-09-20,pt.wikipedia
114,Greyson_Nekrutman,1321,2026-09-20,pt.wikipedia
115,Flávia_Saraiva,1315,2026-09-20,pt.wikipedia
116,Especial:Mudanças_recentes,1306,2026-09-20,pt.wikipedia
117,Michael_Jackson,1304,2026-09-20,pt.wikipedia
118,Thiago_Silva,1303,2026-09-20,pt.wikipedia
119,Eleição_presidencial_no_Brasil_em_2022,1298,2026-09-20,pt.wikipedia
120,Fernando_Diniz,1294,2026-09-20,pt.wikipedia
121,Henrique_VIII_de_Inglaterra,1284,2026-09-20,pt.wikipedia
122,Kiko_Pissolato,1281,2026-09-20,pt.wikipedia
123,Cristiano_Ronaldo,1279,2026-09-20,pt.wikipedia
124,Emily_Blunt,1278,2026-09-20,pt.wikipedia
125,André_do_Prado,1267,2026-09-20,pt.wikipedia
126,YouTube,1265,2026-09-20,pt.wikipedia
127,Campeonato_Sul-Americano_de_Voleibol_Masculino_de_2026,1264,2026-09-20,pt.wikipedia
128,Vicky_Krieps,1260,2026-09-20,pt.wikipedia
128,Anitta,1260,2026-09-20,pt.wikipedia
130,Gabigol,1253,2026-09-20,pt.wikipedia
131,Simon_Baker,1240,2026-09-20,pt.wikipedia
132,Rodrigo_Ferreira_Inácio,1239,2026-09-20,pt.wikipedia
133,Simone_Tebet,1235,2026-09-20,pt.wikipedia
134,Caso_Mangue_937,1230,2026-09-20,pt.wikipedia
135,Aldine_Müller,1228,2026-09-20,pt.wikipedia
136,Giovana_Cordeiro,1226,2026-09-20,pt.wikipedia
137,Adolf_Hitler,1216,2026-09-20,pt.wikipedia
138,Belchior,1211,2026-09-20,pt.wikipedia
139,Campeonato_Sul-Americano_de_Voleibol_Masculino,1208,2026-09-20,pt.wikipedia
140,Resident_Evil_(filme_de_2026),1204,2026-09-20,pt.wikipedia
141,Sociedade_Esportiva_Palmeiras,1194,2026-09-20,pt.wikipedia
142,Priscilla_(cantora),1184,2026-09-20,pt.wikipedia
143,Bianca_Andrade,1183,2026-09-20,pt.wikipedia
144,Engin_Akyürek,1182,2026-09-20,pt.wikipedia
145,Fluminense_Football_Club,1170,2026-09-20,pt.wikipedia
146,Métodos_de_suicídio,1168,2026-09-20,pt.wikipedia
147,Portugal,1167,2026-09-20,pt.wikipedia
148,Marco_Aurélio_de_Oliveira,1159,2026-09-20,pt.wikipedia
148,Lista_de_partidos_políticos_do_Brasil,1159,2026-09-20,pt.wikipedia
150,José_Mourinho,1144,2026-09-20,pt.wikipedia
151,Sarah_Paulson,1135,2026-09-20,pt.wikipedia
152,Daniella_Marques,1134,2026-09-20,pt.wikipedia
153,Guilherme_Derrite,1131,2026-09-20,pt.wikipedia
154,Taís_Araújo,1129,2026-09-20,pt.wikipedia
155,Ronaldinho_Gaúcho,1128,2026-09-20,pt.wikipedia
156,Rony,1125,2026-09-20,pt.wikipedia
157,Partido_Social_Democrático_(2011),1121,2026-09-20,pt.wikipedia
158,Partido_Missão,1120,2026-09-20,pt.wikipedia
159,Anne_Frank,1119,2026-09-20,pt.wikipedia
160,Lista_de_campeões_do_Campeonato_Brasileiro_de_Futebol,1113,2026-09-20,pt.wikipedia
161,Titãs_(banda),1112,2026-09-20,pt.wikipedia
162,Dean_Huijsen,1108,2026-09-20,pt.wikipedia
163,Jonathan_David,1106,2026-09-20,pt.wikipedia
164,Cármen_Lúcia,1105,2026-09-20,pt.wikipedia
165,Andréa_Sorvetão,1096,2026-09-20,pt.wikipedia
166,Joaquim_Barbosa,1094,2026-09-20,pt.wikipedia
167,Leda_Nagle,1089,2026-09-20,pt.wikipedia
168,Anna_Lima,1088,2026-09-20,pt.wikipedia
169,Carolina_Herrera,1086,2026-09-20,pt.wikipedia
170,Sandro_Mazzola,1084,2026-09-20,pt.wikipedia
171,Leopardus_tilcayo,1074,2026-09-20,pt.wikipedia
171,Tite_(treinador_de_futebol),1074,2026-09-20,pt.wikipedia
173,Erika_Hilton,1072,2026-09-20,pt.wikipedia
174,Léa_Campos,1069,2026-09-20,pt.wikipedia
175,Lady_Lu,1067,2026-09-20,pt.wikipedia
176,Eros_Grau,1059,2026-09-20,pt.wikipedia
177,Céline_Dion,1053,2026-09-20,pt.wikipedia
178,Lucarelli_(voleibolista),1049,2026-09-20,pt.wikipedia
178,Anne_Hathaway,1049,2026-09-20,pt.wikipedia
180,Erik_Marmo,1048,2026-09-20,pt.wikipedia
181,Gracyanne_Barbosa,1043,2026-09-20,pt.wikipedia
182,Gaúcho_da_Fronteira,1042,2026-09-20,pt.wikipedia
183,Tobias_(futebolista),1029,2026-09-20,pt.wikipedia
184,Letícia_Colin,1022,2026-09-20,pt.wikipedia
185,Tony_Bellotto,1021,2026-09-20,pt.wikipedia
186,Katseye,1020,2026-09-20,pt.wikipedia
187,Lionel_Messi,1018,2026-09-20,pt.wikipedia
188,Sydney_Sweeney,1014,2026-09-20,pt.wikipedia
189,Carlo_Acutis,1012,2026-09-20,pt.wikipedia
189,Raquel_Lyra,1012,2026-09-20,pt.wikipedia
191,Red_John,1009,2026-09-20,pt.wikipedia
192,Luciano_De_Cecco,1008,2026-09-20,pt.wikipedia
192,Teori_Zavascki,1008,2026-09-20,pt.wikipedia
194,A,1006,2026-09-20,pt.wikipedia
195,Dwayne_Johnson,1005,2026-09-20,pt.wikipedia
196,Giuliano_Simeone,1002,2026-09-20,pt.wikipedia
197,Grêmio_Foot-Ball_Porto_Alegrense,996,2026-09-20,pt.wikipedia
198,Pedro_Scooby,995,2026-09-20,pt.wikipedia
199,São_Paulo,994,2026-09-20,pt.wikipedia
200,Edson_Fachin,991,2026-09-20,pt.wikipedia
201,Por_Você,990,2026-09-20,pt.wikipedia
202,Pablo_Escobar,989,2026-09-20,pt.wikipedia
203,Fernando_Collor,987,2026-09-20,pt.wikipedia
204,Selekt,984,2026-09-20,pt.wikipedia
204,Partido_Liberal_(2006),984,2026-09-20,pt.wikipedia
206,Bruninho_(voleibolista),981,2026-09-20,pt.wikipedia
207,Liga_dos_Campeões_da_UEFA,979,2026-09-20,pt.wikipedia
208,Ricardo_Couto,976,2026-09-20,pt.wikipedia
209,"Diana,_Princesa_de_Gales",974,2026-09-20,pt.wikipedia
210,Jogo_do_bicho,973,2026-09-20,pt.wikipedia
210,Requião_Filho,973,2026-09-20,pt.wikipedia
212,Dilma_Rousseff,968,2026-09-20,pt.wikipedia
212,Paulo_Jr.,968,2026-09-20,pt.wikipedia
214,Juscelino_Kubitschek,965,2026-09-20,pt.wikipedia
214,Getúlio_Vargas,965,2026-09-20,pt.wikipedia
216,A_Fazenda_18,964,2026-09-20,pt.wikipedia
216,Fernando_Henrique_Cardoso,964,2026-09-20,pt.wikipedia
218,Avenida_Brasil_2,962,2026-09-20,pt.wikipedia
219,Pornografia,957,2026-09-20,pt.wikipedia
220,Ku_Klux_Klan,951,2026-09-20,pt.wikipedia
221,Francesco_Farioli,950,2026-09-20,pt.wikipedia
221,Sport_Club_Internacional,950,2026-09-20,pt.wikipedia
223,Monster_(série_de_televisão),948,2026-09-20,pt.wikipedia
224,Blogueirinha,946,2026-09-20,pt.wikipedia
225,Partido_dos_Trabalhadores,945,2026-09-20,pt.wikipedia
226,Supremo_Tribunal_Federal,941,2026-09-20,pt.wikipedia
227,Guilherme_&_Benuto,935,2026-09-20,pt.wikipedia
227,Tarcísio_de_Freitas,935,2026-09-20,pt.wikipedia
229,Dia_do_Herói_Nacional,934,2026-09-20,pt.wikipedia
230,Carlos_Miguel,930,2026-09-20,pt.wikipedia
231,Movimento_Democrático_Brasileiro_(1980),929,2026-09-20,pt.wikipedia
232,Che_Guevara,924,2026-09-20,pt.wikipedia
233,Enéas_Carneiro,923,2026-09-20,pt.wikipedia
234,Nunes_Marques,921,2026-09-20,pt.wikipedia
235,São_Paulo_Futebol_Clube,919,2026-09-20,pt.wikipedia
236,Miraí,914,2026-09-20,pt.wikipedia
237,Xuxa,913,2026-09-20,pt.wikipedia
238,Lee_Kang-in,910,2026-09-20,pt.wikipedia
238,Leonel_Brizola,910,2026-09-20,pt.wikipedia
240,Monster_(2003),909,2026-09-20,pt.wikipedia
241,Futbol_Club_Barcelona,906,2026-09-20,pt.wikipedia
242,Ana_Bolena,905,2026-09-20,pt.wikipedia
243,Tuparendi,903,2026-09-20,pt.wikipedia
243,Seleção_Brasileira_de_Voleibol_Masculino,903,2026-09-20,pt.wikipedia
243,Nise_da_Silveira,903,2026-09-20,pt.wikipedia
246,Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_em_São_Paulo,889,2026-09-20,pt.wikipedia
247,Minha_Melhor_Amiga,888,2026-09-20,pt.wikipedia
248,Luiz_Fux,887,2026-09-20,pt.wikipedia
249,Nova_Castilho,884,2026-09-20,pt.wikipedia
249,A_Morte_de_Ivan_Ilitch,884,2026-09-20,pt.wikipedia
251,Dark_Horse_(filme_de_2026),883,2026-09-20,pt.wikipedia
252,Marly_Sarney,875,2026-09-20,pt.wikipedia
253,Cleitinho,874,2026-09-20,pt.wikipedia
254,Zendaya,873,2026-09-20,pt.wikipedia
255,Kaya_Scodelario,872,2026-09-20,pt.wikipedia
255,O_Mentalista,872,2026-09-20,pt.wikipedia
257,Santos_Futebol_Clube,870,2026-09-20,pt.wikipedia
258,André_Silva_(futebolista),865,2026-09-20,pt.wikipedia
258,Resident_Evil,865,2026-09-20,pt.wikipedia
260,Club_Atlético_de_Madrid,864,2026-09-20,pt.wikipedia
261,Tiago_Volpi,860,2026-09-20,pt.wikipedia
261,Podemos_(Brasil),860,2026-09-20,pt.wikipedia
263,Romeu_Zema,857,2026-09-20,pt.wikipedia
263,Rio_de_Janeiro,857,2026-09-20,pt.wikipedia
265,Pérola_(filme),855,2026-09-20,pt.wikipedia
266,Donald_Trump,853,2026-09-20,pt.wikipedia
267,Hermann_Göring,852,2026-09-20,pt.wikipedia
268,Maçonaria,844,2026-09-20,pt.wikipedia
269,Erling_Haaland,842,2026-09-20,pt.wikipedia
269,Vladimir_Putin,842,2026-09-20,pt.wikipedia
271,São_Pedro_e_Miquelão,840,2026-09-20,pt.wikipedia
272,La_Liga,835,2026-09-20,pt.wikipedia
272,Paulo_Henrique_Ganso,835,2026-09-20,pt.wikipedia
274,Heath_Ledger,832,2026-09-20,pt.wikipedia
