rank,article,views,date,project
1,Заглавная_страница,495154,2026-09-25,ru.wikipedia
2,"Влади,_Марина",109109,2026-09-25,ru.wikipedia
3,"Соседов,_Сергей_Васильевич",69005,2026-09-25,ru.wikipedia
4,Служебная:Поиск,46945,2026-09-25,ru.wikipedia
5,"Высоцкий,_Владимир_Семёнович",32701,2026-09-25,ru.wikipedia
6,Выборы_в_Государственную_думу_(2026),20665,2026-09-25,ru.wikipedia
7,Список_умерших_в_2026_году,15478,2026-09-25,ru.wikipedia
8,Джиган,14521,2026-09-25,ru.wikipedia
9,"Дмитриенко,_Ваня",13914,2026-09-25,ru.wikipedia
10,Пинап,13566,2026-09-25,ru.wikipedia
11,"Свиридова,_Алёна_Валентиновна",12883,2026-09-25,ru.wikipedia
12,"Кац,_Мария_Львовна",12161,2026-09-25,ru.wikipedia
13,"Борден,_Лиззи",10546,2026-09-25,ru.wikipedia
14,"Оссейн,_Робер",10376,2026-09-25,ru.wikipedia
15,"Гарифуллина,_Аида_Эмилевна",10333,2026-09-25,ru.wikipedia
16,"Козлов,_Алексей_Семёнович",9138,2026-09-25,ru.wikipedia
17,Монстр:_История_Лиззи_Борден,8681,2026-09-25,ru.wikipedia
18,"Воробьёв,_Алексей_Владимирович_(артист)",8645,2026-09-25,ru.wikipedia
19,"Высоцкий,_Никита_Владимирович",8587,2026-09-25,ru.wikipedia
20,"Самойлова,_Оксана_Валерьевна",8578,2026-09-25,ru.wikipedia
21,"Аринбасарова,_Наталия_Утевлевна",8463,2026-09-25,ru.wikipedia
22,"Обитель_зла_(фильм,_2026)",7806,2026-09-25,ru.wikipedia
23,"Путин,_Владимир_Владимирович",7683,2026-09-25,ru.wikipedia
24,IMGSRC.RU,7209,2026-09-25,ru.wikipedia
25,Россия,6823,2026-09-25,ru.wikipedia
26,"Кынев,_Александр_Владимирович",6619,2026-09-25,ru.wikipedia
27,25_сентября,6584,2026-09-25,ru.wikipedia
