rank,article,views,date,project
1,Portal:Huvudsida,102791,2026-09-21,sv.wikipedia
2,Lizzie_Borden,14419,2026-09-21,sv.wikipedia
3,Special:Sök,8238,2026-09-21,sv.wikipedia
4,EPA-traktor,5267,2026-09-21,sv.wikipedia
5,Cindy_Crawford,3806,2026-09-21,sv.wikipedia
6,Malte_Gårdinger,3163,2026-09-21,sv.wikipedia
7,Mohamed_Abdukardir_Ali,3079,2026-09-21,sv.wikipedia
8,Mikael_Wiehe,2785,2026-09-21,sv.wikipedia
9,Döden_vid_fjorden,2681,2026-09-21,sv.wikipedia
10,Lars-Inge_Svartenbrandt,2604,2026-09-21,sv.wikipedia
11,Brigitte_Bardot,2590,2026-09-21,sv.wikipedia
12,Aileen_Wuornos,2259,2026-09-21,sv.wikipedia
13,Andreas_Almgren,2198,2026-09-21,sv.wikipedia
14,Kaia_Gerber,2175,2026-09-21,sv.wikipedia
15,Merit_Hemmingson,2127,2026-09-21,sv.wikipedia
16,Roger_Moore,1741,2026-09-21,sv.wikipedia
17,Special:Senaste_ändringar,1680,2026-09-21,sv.wikipedia
18,Markoolio,1679,2026-09-21,sv.wikipedia
19,Nooshi_Dadgostar,1518,2026-09-21,sv.wikipedia
20,Pontus_Gårdinger,1490,2026-09-21,sv.wikipedia
21,Mecklenburg-Vorpommern,1475,2026-09-21,sv.wikipedia
22,Lennart_Jähkel,1400,2026-09-21,sv.wikipedia
23,Bayeuxtapeten,1355,2026-09-21,sv.wikipedia
24,ASAP_Rocky,1352,2026-09-21,sv.wikipedia
25,Irma_Lehtosalo,1342,2026-09-21,sv.wikipedia
26,Alternativ_för_Tyskland,1333,2026-09-21,sv.wikipedia
27,Andreas_Norlén,1315,2026-09-21,sv.wikipedia
28,Kompaniet_(TV-program),1281,2026-09-21,sv.wikipedia
29,Viola_Gråsten,1268,2026-09-21,sv.wikipedia
30,Isa_Östling,1243,2026-09-21,sv.wikipedia
31,Hans_Fahlén,1220,2026-09-21,sv.wikipedia
32,Riksdagsvalet_i_Sverige_2026,1200,2026-09-21,sv.wikipedia
33,Sverige,1198,2026-09-21,sv.wikipedia
34,Peter_Siepen,1138,2026-09-21,sv.wikipedia
35,Amineh_Kakabaveh,1062,2026-09-21,sv.wikipedia
36,Jom_kippur,955,2026-09-21,sv.wikipedia
37,Ida_Gabrielsson,934,2026-09-21,sv.wikipedia
38,Rebecca_Haimi,918,2026-09-21,sv.wikipedia
39,John_Mellberg,909,2026-09-21,sv.wikipedia
40,Tove_Lo,906,2026-09-21,sv.wikipedia
41,Jackie_Ferm,870,2026-09-21,sv.wikipedia
42,Karljohanssvamp,861,2026-09-21,sv.wikipedia
43,Fredrik_Reinfeldt,838,2026-09-21,sv.wikipedia
44,Björn_Afzelius,836,2026-09-21,sv.wikipedia
45,Lars_Leijonborg,835,2026-09-21,sv.wikipedia
46,Marcus_Schenkenberg,823,2026-09-21,sv.wikipedia
47,Avlidna_2026,786,2026-09-21,sv.wikipedia
48,Kajsa_Fredholm,777,2026-09-21,sv.wikipedia
49,Sogn,767,2026-09-21,sv.wikipedia
50,Die_Linke,763,2026-09-21,sv.wikipedia
51,Resan_till_Piemonte,750,2026-09-21,sv.wikipedia
52,Gunde_Svan,747,2026-09-21,sv.wikipedia
53,Sveriges_riksdags_talman,746,2026-09-21,sv.wikipedia
54,21_september,743,2026-09-21,sv.wikipedia
55,Owe_Gustafson,737,2026-09-21,sv.wikipedia
56,Perla_Malmberg,706,2026-09-21,sv.wikipedia
57,Erik_Haag,699,2026-09-21,sv.wikipedia
58,Simona_Mohamsson,689,2026-09-21,sv.wikipedia
59,Magdalena_Andersson,683,2026-09-21,sv.wikipedia
60,Förrädarna,678,2026-09-21,sv.wikipedia
61,Vänsterpartiet,670,2026-09-21,sv.wikipedia
62,Göran_Lindberg_(polis),669,2026-09-21,sv.wikipedia
62,Kalle_Zackari_Wahlström,669,2026-09-21,sv.wikipedia
64,Ulf_Kristersson,668,2026-09-21,sv.wikipedia
64,Katrin_Zytomierska,668,2026-09-21,sv.wikipedia
66,Diagnoser,655,2026-09-21,sv.wikipedia
67,Paulos_Abraham,647,2026-09-21,sv.wikipedia
68,Pia_Hultgren,640,2026-09-21,sv.wikipedia
69,Ed_Gein,626,2026-09-21,sv.wikipedia
70,Arantxa_Alvarez,625,2026-09-21,sv.wikipedia
71,Europe,618,2026-09-21,sv.wikipedia
72,Laurinska_huset,609,2026-09-21,sv.wikipedia
72,Megic_Mike,609,2026-09-21,sv.wikipedia
74,Julia_Svan,608,2026-09-21,sv.wikipedia
75,Kristofer_Hivju,599,2026-09-21,sv.wikipedia
76,Jake_Gyllenhaal,597,2026-09-21,sv.wikipedia
77,Joey_Tempest,596,2026-09-21,sv.wikipedia
78,Jhonas_Enroth,595,2026-09-21,sv.wikipedia
79,Höstdagjämningen,587,2026-09-21,sv.wikipedia
80,Marie_Svan,584,2026-09-21,sv.wikipedia
80,Petra_Malm,584,2026-09-21,sv.wikipedia
82,Sydney_Sweeney,581,2026-09-21,sv.wikipedia
83,Martin_Kayongo-Mutumba,575,2026-09-21,sv.wikipedia
84,Rihanna,568,2026-09-21,sv.wikipedia
85,Johan_Pehrson,563,2026-09-21,sv.wikipedia
86,Opinionsundersökningar_inför_riksdagsvalet_i_Sverige_2026,544,2026-09-21,sv.wikipedia
87,Andrakammarvalet_i_Sverige_1958,523,2026-09-21,sv.wikipedia
88,Leopardus_tilcayo,519,2026-09-21,sv.wikipedia
89,Lista_över_namnsdagar_i_Sverige_i_datumordning,515,2026-09-21,sv.wikipedia
90,Ella_Beatty,514,2026-09-21,sv.wikipedia
91,Brita_Zackari,512,2026-09-21,sv.wikipedia
92,Elisabeth_Thand_Ringqvist,511,2026-09-21,sv.wikipedia
93,Carl_XVI_Gustaf,510,2026-09-21,sv.wikipedia
93,Christopher_Wollter,510,2026-09-21,sv.wikipedia
93,Sverigedemokraterna,510,2026-09-21,sv.wikipedia
96,Riksdagsvalet_i_Sverige_2022,505,2026-09-21,sv.wikipedia
96,Martina_Haag,505,2026-09-21,sv.wikipedia
98,Halvmaraton,498,2026-09-21,sv.wikipedia
99,CDU,497,2026-09-21,sv.wikipedia
100,Pluto,492,2026-09-21,sv.wikipedia
100,P.C._Jersild,492,2026-09-21,sv.wikipedia
102,Carolina_Gynning,491,2026-09-21,sv.wikipedia
102,Richard_Gere,491,2026-09-21,sv.wikipedia
104,Hönshirs,489,2026-09-21,sv.wikipedia
105,Alternativ_för_Sverige,487,2026-09-21,sv.wikipedia
106,Jimmie_Åkesson,485,2026-09-21,sv.wikipedia
107,Mobland,480,2026-09-21,sv.wikipedia
108,Carl-Oskar_Bohlin,476,2026-09-21,sv.wikipedia
109,Stockholm,474,2026-09-21,sv.wikipedia
110,Astrid_Sampe,469,2026-09-21,sv.wikipedia
110,Laleh,469,2026-09-21,sv.wikipedia
112,Tilda_Törnqvist,464,2026-09-21,sv.wikipedia
112,Flickan_från_tredje_raden,464,2026-09-21,sv.wikipedia
114,Rachel_Mohlin,463,2026-09-21,sv.wikipedia
115,Ferry_Svan,458,2026-09-21,sv.wikipedia
116,Socialdemokraterna_(Sverige),457,2026-09-21,sv.wikipedia
117,Malin_Gramer,454,2026-09-21,sv.wikipedia
118,Jennie_Nilsson,449,2026-09-21,sv.wikipedia
118,Spelet_(TV-program),449,2026-09-21,sv.wikipedia
120,Moderaterna,444,2026-09-21,sv.wikipedia
120,Sveriges_statsminister,444,2026-09-21,sv.wikipedia
122,Toppslätskivling,443,2026-09-21,sv.wikipedia
123,Stolt_fjällskivling,442,2026-09-21,sv.wikipedia
124,11_september-attackerna,440,2026-09-21,sv.wikipedia
124,Samir_Badran,440,2026-09-21,sv.wikipedia
126,Henrik_Schyffert,439,2026-09-21,sv.wikipedia
126,Allan_Pettersson,439,2026-09-21,sv.wikipedia
128,Fredrika_Bremer,438,2026-09-21,sv.wikipedia
128,Elisabet_Báthory,438,2026-09-21,sv.wikipedia
130,Prinsessan_Astrid_av_Norge,437,2026-09-21,sv.wikipedia
131,Klas_Eklund,432,2026-09-21,sv.wikipedia
131,Lennart_Widerström,432,2026-09-21,sv.wikipedia
133,Aberdeen,429,2026-09-21,sv.wikipedia
134,Alice_Weidel,428,2026-09-21,sv.wikipedia
135,Jesper_Blomqvist,419,2026-09-21,sv.wikipedia
136,Göran_Persson,418,2026-09-21,sv.wikipedia
137,Vladimir_Putin,413,2026-09-21,sv.wikipedia
138,Riksdagsvalet_i_Sverige_2018,409,2026-09-21,sv.wikipedia
138,Sveriges_riksdag,409,2026-09-21,sv.wikipedia
140,Resultat_i_val_till_Sveriges_riksdag,408,2026-09-21,sv.wikipedia
140,Ebba_Busch,408,2026-09-21,sv.wikipedia
142,Kristoffer_Nordfeldt,402,2026-09-21,sv.wikipedia
143,Centerpartiet,401,2026-09-21,sv.wikipedia
144,Veronica_Maggio,398,2026-09-21,sv.wikipedia
145,Tyskland,394,2026-09-21,sv.wikipedia
146,Dolly_Parton,392,2026-09-21,sv.wikipedia
147,Eva_Remaeus,391,2026-09-21,sv.wikipedia
147,Ann_Zacharias,391,2026-09-21,sv.wikipedia
149,Lotta_Lundgren,390,2026-09-21,sv.wikipedia
150,Astrid_Lindgren,389,2026-09-21,sv.wikipedia
150,Special_Ops:_Lioness,389,2026-09-21,sv.wikipedia
152,Gyllenhaal,388,2026-09-21,sv.wikipedia
153,Tysklands_förbundsländer,386,2026-09-21,sv.wikipedia
153,Landskap_i_Sverige,386,2026-09-21,sv.wikipedia
155,Stig_Dagerman,385,2026-09-21,sv.wikipedia
155,Bingo_Rimér,385,2026-09-21,sv.wikipedia
157,Europa,375,2026-09-21,sv.wikipedia
157,Gustaf_Reinfeldt,375,2026-09-21,sv.wikipedia
159,Josefin_Johansson,372,2026-09-21,sv.wikipedia
159,The_Gentlemen_(TV-serie),372,2026-09-21,sv.wikipedia
161,Donald_Trump,369,2026-09-21,sv.wikipedia
161,Nour_El_Refai,369,2026-09-21,sv.wikipedia
163,Michael_Mosley,368,2026-09-21,sv.wikipedia
164,Uefa_Nations_League,366,2026-09-21,sv.wikipedia
164,Mellanårsval_i_USA,366,2026-09-21,sv.wikipedia
166,Leila_Ali_Elmi,365,2026-09-21,sv.wikipedia
167,Jeffrey_Dahmer,362,2026-09-21,sv.wikipedia
168,Markus_Allard,360,2026-09-21,sv.wikipedia
169,Lars_Jakobson,359,2026-09-21,sv.wikipedia
170,Messiah_Hallberg,357,2026-09-21,sv.wikipedia
171,Turinsvepningen,353,2026-09-21,sv.wikipedia
172,Kent_Ekeroth,352,2026-09-21,sv.wikipedia
173,Silvana_Imam,351,2026-09-21,sv.wikipedia
174,Annette_Bening,349,2026-09-21,sv.wikipedia
175,Lista_över_talmän_i_Sveriges_riksdag,348,2026-09-21,sv.wikipedia
