rank,article,views,date,project
1,Головна_сторінка,12936,2026-09-25,uk.wikipedia
2,Сосєдов_Сергій_Васильович,6136,2026-09-25,uk.wikipedia
3,Вища_рада_правосуддя,5526,2026-09-25,uk.wikipedia
4,Марина_Владі,5123,2026-09-25,uk.wikipedia
5,Спеціальна:Пошук,4243,2026-09-25,uk.wikipedia
6,Олешки,4077,2026-09-25,uk.wikipedia
7,Сікан_Данило_Ярославович,2894,2026-09-25,uk.wikipedia
8,Андреа_Мальдера,2808,2026-09-25,uk.wikipedia
9,Ліззі_Борден,2658,2026-09-25,uk.wikipedia
10,Володимир_Дантес,2497,2026-09-25,uk.wikipedia
11,Banks_(співачка),2008,2026-09-25,uk.wikipedia
12,Спеціальна:Нові_редагування,1609,2026-09-25,uk.wikipedia
13,Бандероль_(БПЛА),1473,2026-09-25,uk.wikipedia
14,Могилевська_Наталія_Олексіївна,1451,2026-09-25,uk.wikipedia
15,Крупський_Ілля_Олексійович,1383,2026-09-25,uk.wikipedia
16,Макс_Барських,1351,2026-09-25,uk.wikipedia
17,Національні_природні_парки_України,1242,2026-09-25,uk.wikipedia
18,Вілл_Сміт,1222,2026-09-25,uk.wikipedia
19,Студентська_вулиця_(Київ),1212,2026-09-25,uk.wikipedia
20,Висоцький_Володимир_Семенович,1201,2026-09-25,uk.wikipedia
21,Пашинський_Сергій_Володимирович,1189,2026-09-25,uk.wikipedia
22,Національна_суспільна_телерадіокомпанія_України,1116,2026-09-25,uk.wikipedia
23,Домінік_Собослаї,1107,2026-09-25,uk.wikipedia
24,Олійник_Вадим_Анатолійович,1072,2026-09-25,uk.wikipedia
25,Інком,1045,2026-09-25,uk.wikipedia
26,Україна,1010,2026-09-25,uk.wikipedia
27,Теодор_Качинський,1006,2026-09-25,uk.wikipedia
28,"Марко_Россі_(футболіст,_1964)",1000,2026-09-25,uk.wikipedia
29,Краснопір_Ігор_Вячеславович,979,2026-09-25,uk.wikipedia
30,Жумаділов_Арсен_Куатович,962,2026-09-25,uk.wikipedia
31,Герань-5,900,2026-09-25,uk.wikipedia
32,Датагруп,848,2026-09-25,uk.wikipedia
33,Збірна_України_з_футболу,798,2026-09-25,uk.wikipedia
