rank,article,views,date,project
1,Trang_Chính,25302,2026-09-25,vi.wikipedia
2,Đài_Truyền_hình_Kỹ_thuật_số_VTC,8345,2026-09-25,vi.wikipedia
3,Tết_Trung_thu,7695,2026-09-25,vi.wikipedia
4,Đặc_biệt:Tìm_kiếm,6722,2026-09-25,vi.wikipedia
5,FIFA_ASEAN_Cup_2026,5057,2026-09-25,vi.wikipedia
6,Việt_Nam,2746,2026-09-25,vi.wikipedia
7,Đặc_biệt:Thay_đổi_gần_đây,2442,2026-09-25,vi.wikipedia
8,Bóng_đá_tại_Đại_hội_Thể_thao_châu_Á_2026_–_Nam,2252,2026-09-25,vi.wikipedia
9,Đại_hội_Thể_thao_châu_Á_2026,2093,2026-09-25,vi.wikipedia
10,Krafton,1994,2026-09-25,vi.wikipedia
11,Tập_Cận_Bình,1888,2026-09-25,vi.wikipedia
12,Giải_vô_địch_bóng_đá_châu_Âu,1775,2026-09-25,vi.wikipedia
13,XXX_(phim_2002),1702,2026-09-25,vi.wikipedia
14,Lê_Văn_Duyệt,1650,2026-09-25,vi.wikipedia
15,UEFA_Nations_League,1639,2026-09-25,vi.wikipedia
16,PUBG:_Battlegrounds,1418,2026-09-25,vi.wikipedia
17,Tô_Lâm,1304,2026-09-25,vi.wikipedia
18,Canada,1177,2026-09-25,vi.wikipedia
19,Đài_Truyền_hình_Việt_Nam,1146,2026-09-25,vi.wikipedia
20,Đội_tuyển_bóng_đá_quốc_gia_Việt_Nam,1047,2026-09-25,vi.wikipedia
21,Thành_phố_Hồ_Chí_Minh,1031,2026-09-25,vi.wikipedia
22,Bành_Lệ_Viện,1002,2026-09-25,vi.wikipedia
23,Bảng_xếp_hạng_bóng_đá_nam_FIFA,998,2026-09-25,vi.wikipedia
24,Trí_tuệ_nhân_tạo,987,2026-09-25,vi.wikipedia
25,Cristiano_Ronaldo,978,2026-09-25,vi.wikipedia
26,Nguyễn_Thị_Kim_Tiến,971,2026-09-25,vi.wikipedia
27,Hà_Nội,967,2026-09-25,vi.wikipedia
28,Émile_Zola,960,2026-09-25,vi.wikipedia
29,Năng_lượng_tái_tạo,937,2026-09-25,vi.wikipedia
30,Tập_tin:App_Store_(iOS).svg,903,2026-09-25,vi.wikipedia
31,Hùng_Cao,842,2026-09-25,vi.wikipedia
32,Trung_Quốc,819,2026-09-25,vi.wikipedia
33,Hồ_Chí_Minh,800,2026-09-25,vi.wikipedia
34,Vương_Quốc_Tuấn,785,2026-09-25,vi.wikipedia
35,Ngọc_Quỳnh_(diễn_viên),760,2026-09-25,vi.wikipedia
35,Tình_dục_với_động_vật,760,2026-09-25,vi.wikipedia
37,Emoura_Phạm,753,2026-09-25,vi.wikipedia
38,Jane_Eyre,743,2026-09-25,vi.wikipedia
39,Phạm_Tuyên,738,2026-09-25,vi.wikipedia
40,Từ_Hi_Thái_hậu,736,2026-09-25,vi.wikipedia
41,Ấm_lên_toàn_cầu,698,2026-09-25,vi.wikipedia
42,Hoa_Kỳ,694,2026-09-25,vi.wikipedia
43,Tập_đoàn_Giải_trí_và_Trò_chơi_Philippines,669,2026-09-25,vi.wikipedia
44,Imre_Kertész,664,2026-09-25,vi.wikipedia
45,Danh_sách_phim_cấp_III_Hồng_Kông,656,2026-09-25,vi.wikipedia
46,Bắc_Ninh,649,2026-09-25,vi.wikipedia
47,Vụ_giết_người_và_phân_xác_ở_Lạng_Sơn_2025,648,2026-09-25,vi.wikipedia
48,Nguyễn_Tri_Thức,617,2026-09-25,vi.wikipedia
49,Bóng_đá,614,2026-09-25,vi.wikipedia
49,Trường_Giang_(nghệ_sĩ),614,2026-09-25,vi.wikipedia
51,Đà_Lạt,612,2026-09-25,vi.wikipedia
52,Trần_Lưu_Quang,607,2026-09-25,vi.wikipedia
53,Donald_Trump,604,2026-09-25,vi.wikipedia
54,Toàn_quyền_Canada,603,2026-09-25,vi.wikipedia
55,Bùi_Hoàng_Phương,602,2026-09-25,vi.wikipedia
56,Bùi_Văn_Nam,601,2026-09-25,vi.wikipedia
57,Q,587,2026-09-25,vi.wikipedia
58,"Tinh_hà_""say_hi""_(mùa_1)",579,2026-09-25,vi.wikipedia
59,Thể_loại:Phim_Séc,567,2026-09-25,vi.wikipedia
60,Benjamin_Netanyahu,565,2026-09-25,vi.wikipedia
61,Tập_tin:XHamster_logo.svg,564,2026-09-25,vi.wikipedia
62,Anh_trai_vượt_ngàn_chông_gai_(mùa_2),563,2026-09-25,vi.wikipedia
63,Đại_hội_Thể_thao_châu_Á,560,2026-09-25,vi.wikipedia
64,YouTube,557,2026-09-25,vi.wikipedia
65,ENIAC,555,2026-09-25,vi.wikipedia
