rank,article,views,date,project
1,Wikipedia:首页,244233,2026-09-20,zh.wikipedia
2,Special:Search,39538,2026-09-20,zh.wikipedia
3,挑情醜聞,38328,2026-09-20,zh.wikipedia
4,黑白清道夫,25214,2026-09-20,zh.wikipedia
5,沈伯洋,23828,2026-09-20,zh.wikipedia
6,2026年亞洲運動會,21321,2026-09-20,zh.wikipedia
7,早春晴朗,19837,2026-09-20,zh.wikipedia
8,Nana_(藝人),17008,2026-09-20,zh.wikipedia
9,董建華,14724,2026-09-20,zh.wikipedia
10,井柏然,13129,2026-09-20,zh.wikipedia
11,惡靈古堡：爆發夜,12807,2026-09-20,zh.wikipedia
12,2026年亚洲运动会奖牌榜,12579,2026-09-20,zh.wikipedia
13,阮嘉敏,12266,2026-09-20,zh.wikipedia
14,陳鏞基,11352,2026-09-20,zh.wikipedia
15,蔣萬安,9963,2026-09-20,zh.wikipedia
16,习近平,9379,2026-09-20,zh.wikipedia
17,莉茲·博登,9094,2026-09-20,zh.wikipedia
18,池昌旭,8372,2026-09-20,zh.wikipedia
19,一瓯春,7936,2026-09-20,zh.wikipedia
20,鄭朝方,7869,2026-09-20,zh.wikipedia
21,亚洲运动会,7399,2026-09-20,zh.wikipedia
22,孙千,7273,2026-09-20,zh.wikipedia
23,2026年亞洲運動會中華台北代表團,6772,2026-09-20,zh.wikipedia
24,辛潤夏,6155,2026-09-20,zh.wikipedia
25,欢迎来龙餐馆,6076,2026-09-20,zh.wikipedia
26,雷嘉汭,5968,2026-09-20,zh.wikipedia
27,無職轉生～到了異世界就拿出真本事～,5866,2026-09-20,zh.wikipedia
28,財閥X刑警2,5694,2026-09-20,zh.wikipedia
29,女神配對計劃2,5624,2026-09-20,zh.wikipedia
30,四手聯彈，兩首奏鳴曲,5539,2026-09-20,zh.wikipedia
31,孫藝真,5507,2026-09-20,zh.wikipedia
32,世界災害管理聯盟,5476,2026-09-20,zh.wikipedia
33,除了你之外的戀愛,5437,2026-09-20,zh.wikipedia
34,譚松韻,5319,2026-09-20,zh.wikipedia
35,董趙洪娉,5140,2026-09-20,zh.wikipedia
36,刘学义,5050,2026-09-20,zh.wikipedia
37,披荆斩棘2026,5000,2026-09-20,zh.wikipedia
38,殺手媽咪,4872,2026-09-20,zh.wikipedia
39,醜聞_(2003年電影),4857,2026-09-20,zh.wikipedia
40,黃泉使者,4556,2026-09-20,zh.wikipedia
41,吉米·法伦,4540,2026-09-20,zh.wikipedia
42,飞到我心上,4208,2026-09-20,zh.wikipedia
43,六四事件,4166,2026-09-20,zh.wikipedia
44,黃世杰_(政治人物),4160,2026-09-20,zh.wikipedia
45,陽光女子合唱團,4108,2026-09-20,zh.wikipedia
46,多米多羅,4082,2026-09-20,zh.wikipedia
47,2026年亚洲运动会乒乓球比赛,4050,2026-09-20,zh.wikipedia
48,死有對証,3978,2026-09-20,zh.wikipedia
49,直到T恤乾了為止,3916,2026-09-20,zh.wikipedia
50,俞可程,3836,2026-09-20,zh.wikipedia
51,漢斯·季默,3814,2026-09-20,zh.wikipedia
52,陳若思,3734,2026-09-20,zh.wikipedia
53,無職轉生～到了異世界就拿出真本事～角色列表,3728,2026-09-20,zh.wikipedia
54,奧德賽_(電影),3717,2026-09-20,zh.wikipedia
55,2026年中華民國直轄市長及縣市長選舉,3709,2026-09-20,zh.wikipedia
56,蘇巧慧,3701,2026-09-20,zh.wikipedia
57,中頭獎還是要上班,3578,2026-09-20,zh.wikipedia
58,婁峻碩,3516,2026-09-20,zh.wikipedia
59,平陆运河,3391,2026-09-20,zh.wikipedia
60,百花殺,3347,2026-09-20,zh.wikipedia
61,消失的人,3343,2026-09-20,zh.wikipedia
62,中华人民共和国,3288,2026-09-20,zh.wikipedia
63,蔣孝嚴,3267,2026-09-20,zh.wikipedia
64,廖碧兒,3257,2026-09-20,zh.wikipedia
65,柯象,3251,2026-09-20,zh.wikipedia
66,中華民國,3227,2026-09-20,zh.wikipedia
67,我是不才惡女,3141,2026-09-20,zh.wikipedia
68,给阿嬷的情书,3123,2026-09-20,zh.wikipedia
69,生化危機系列,3091,2026-09-20,zh.wikipedia
70,李灝宇,3072,2026-09-20,zh.wikipedia
71,花开锦绣,3000,2026-09-20,zh.wikipedia
72,曾蔭權,2992,2026-09-20,zh.wikipedia
73,HTTP_402,2945,2026-09-20,zh.wikipedia
74,愛你致死不渝,2858,2026-09-20,zh.wikipedia
75,黃偉哲,2841,2026-09-20,zh.wikipedia
76,ATEEZ,2812,2026-09-20,zh.wikipedia
77,肥龍過江_(2020年電影),2800,2026-09-20,zh.wikipedia
78,再見1987,2797,2026-09-20,zh.wikipedia
79,张凌赫,2785,2026-09-20,zh.wikipedia
80,李成钢,2726,2026-09-20,zh.wikipedia
81,2026年亞洲運動會羽球比賽,2651,2026-09-20,zh.wikipedia
81,逐玉,2651,2026-09-20,zh.wikipedia
83,林熙蕾,2625,2026-09-20,zh.wikipedia
84,郭珮文,2623,2026-09-20,zh.wikipedia
85,盜火線,2608,2026-09-20,zh.wikipedia
86,董立新,2597,2026-09-20,zh.wikipedia
87,韩国制造,2557,2026-09-20,zh.wikipedia
88,鄭健樂,2539,2026-09-20,zh.wikipedia
89,林岱安,2522,2026-09-20,zh.wikipedia
89,蕭煌奇,2522,2026-09-20,zh.wikipedia
91,2026年亚洲运动会中国代表团,2477,2026-09-20,zh.wikipedia
92,黃淑蔓,2476,2026-09-20,zh.wikipedia
93,拆弹专家2,2441,2026-09-20,zh.wikipedia
94,何沛珈,2367,2026-09-20,zh.wikipedia
95,The_Rose_(樂團),2350,2026-09-20,zh.wikipedia
96,吳怡農,2340,2026-09-20,zh.wikipedia
97,譚詠麟,2328,2026-09-20,zh.wikipedia
98,921大地震,2306,2026-09-20,zh.wikipedia
99,柯志恩,2287,2026-09-20,zh.wikipedia
99,许嵩,2287,2026-09-20,zh.wikipedia
101,毛泽东,2283,2026-09-20,zh.wikipedia
102,名偵探柯南動畫集數列表,2250,2026-09-20,zh.wikipedia
103,謝衣鳯,2246,2026-09-20,zh.wikipedia
104,Special:RecentChanges,2236,2026-09-20,zh.wikipedia
105,周也,2224,2026-09-20,zh.wikipedia
106,习明泽,2191,2026-09-20,zh.wikipedia
106,吉伊卡哇,2191,2026-09-20,zh.wikipedia
108,陳觀泰,2187,2026-09-20,zh.wikipedia
109,三K党,2175,2026-09-20,zh.wikipedia
110,中国大陆电视剧列表_(2026年),2171,2026-09-20,zh.wikipedia
111,新生_(网络剧),2155,2026-09-20,zh.wikipedia
112,安子介,2154,2026-09-20,zh.wikipedia
113,惡靈古堡系列電影,2143,2026-09-20,zh.wikipedia
114,财阀X刑警,2140,2026-09-20,zh.wikipedia
115,九一八事變,2139,2026-09-20,zh.wikipedia
116,無職轉生～到了異世界就拿出真本事～_(動畫),2116,2026-09-20,zh.wikipedia
117,石泰峰,2108,2026-09-20,zh.wikipedia
118,陳彥行,2107,2026-09-20,zh.wikipedia
119,鄧兆尊,2086,2026-09-20,zh.wikipedia
120,李泳知,2069,2026-09-20,zh.wikipedia
121,李家超,2059,2026-09-20,zh.wikipedia
122,謝典霖,2047,2026-09-20,zh.wikipedia
123,RESCENE,2046,2026-09-20,zh.wikipedia
124,倪妮,2040,2026-09-20,zh.wikipedia
125,李賢重,2031,2026-09-20,zh.wikipedia
126,韓善伙,2025,2026-09-20,zh.wikipedia
126,李濬榮,2025,2026-09-20,zh.wikipedia
128,2026年中華民國直轄市長及縣市長選舉民意調查,2022,2026-09-20,zh.wikipedia
128,關於我轉生變成史萊姆這檔事角色列表,2022,2026-09-20,zh.wikipedia
130,Z-Library,2008,2026-09-20,zh.wikipedia
131,劉鑾雄,2005,2026-09-20,zh.wikipedia
132,英雄联盟2026赛季全球总决赛,1987,2026-09-20,zh.wikipedia
133,賴瑞隆,1981,2026-09-20,zh.wikipedia
134,鋼鐵森林,1976,2026-09-20,zh.wikipedia
135,鬼的新娘,1974,2026-09-20,zh.wikipedia
136,胡塞武装,1972,2026-09-20,zh.wikipedia
137,中华人民共和国国家级典型地震遗址列表,1968,2026-09-20,zh.wikipedia
138,連詩雅,1967,2026-09-20,zh.wikipedia
139,Sayuri,1962,2026-09-20,zh.wikipedia
140,松岡茉優,1951,2026-09-20,zh.wikipedia
141,野獸之心,1944,2026-09-20,zh.wikipedia
142,毛骨悚然的戀愛,1931,2026-09-20,zh.wikipedia
143,交锋,1917,2026-09-20,zh.wikipedia
144,陳菊,1915,2026-09-20,zh.wikipedia
144,胡锦涛,1915,2026-09-20,zh.wikipedia
146,假面騎士MY-TH,1912,2026-09-20,zh.wikipedia
147,季春奶奶,1872,2026-09-20,zh.wikipedia
148,2026年日本動畫列表,1863,2026-09-20,zh.wikipedia
149,梁敏巧,1861,2026-09-20,zh.wikipedia
150,蔣中正,1860,2026-09-20,zh.wikipedia
151,吳乃仁,1857,2026-09-20,zh.wikipedia
152,劉些寧,1839,2026-09-20,zh.wikipedia
153,十月初五的月光_(2000年電視劇),1832,2026-09-20,zh.wikipedia
154,黎彼得,1831,2026-09-20,zh.wikipedia
155,BABYMONSTER,1827,2026-09-20,zh.wikipedia
156,蜘蛛人：重生日,1821,2026-09-20,zh.wikipedia
157,魏哲鸣,1799,2026-09-20,zh.wikipedia
158,橡樹街末日,1793,2026-09-20,zh.wikipedia
159,我的荒糖戀愛,1790,2026-09-20,zh.wikipedia
160,CORTIS,1769,2026-09-20,zh.wikipedia
161,躲在超市後門抽菸的兩人,1766,2026-09-20,zh.wikipedia
